date,stargazers,starsToday,description,owner,name,url
2021-12-19,8,3,Collection of malware source code for a variety of platforms in an array of different programming languages.,vxunderground,MalwareSourceCode,https://github.com/vxunderground/MalwareSourceCode
2021-12-19,1,1,A FPGA friendly 32 bit RISC-V CPU implementation,SpinalHDL,VexRiscv,https://github.com/SpinalHDL/VexRiscv
2021-12-19,133,9,Assembler and example programs for the CHUNGUS 2 Minecraft CPU.,sammyuri,chungus-2-assembler,https://github.com/sammyuri/chungus-2-assembler
2021-12-19,5,21,"A FREE comprehensive reverse engineering tutorial covering x86, x64, 32-bit ARM & 64-bit ARM architectures.",mytechnotalent,Reverse-Engineering,https://github.com/mytechnotalent/Reverse-Engineering
2021-12-19,6,0,,filecoin-project,fil-blst,https://github.com/filecoin-project/fil-blst
2021-12-19,8,4,mal - Make a Lisp,kanaka,mal,https://github.com/kanaka/mal
2021-12-19,7,5,"Hello world in every computer language. Thanks to everyone who contributes to this, make sure to see CONTRIBUTING.md for contribution instructions!",leachim6,hello-world,https://github.com/leachim6/hello-world
2021-12-19,12,0,Vendored files from Intel's SVML,numpy,SVML,https://github.com/numpy/SVML
2021-12-19,1,2,A blazingly fast JSON serializing & deserializing library,bytedance,sonic,https://github.com/bytedance/sonic
2021-12-19,217,1,A decompilation of Super Smash Bros Melee brought to you by a bunch of clever folks.,doldecomp,melee,https://github.com/doldecomp/melee
2021-12-19,1,2,Converts PE into a shellcode,hasherezade,pe_to_shellcode,https://github.com/hasherezade/pe_to_shellcode
2021-12-19,472,0,"An upgrade to Pokémon Crystal. Brings features and content up to date, and adds some original content.",Rangi42,polishedcrystal,https://github.com/Rangi42/polishedcrystal
2021-12-19,2,0,Pregenerated data for ICU library,ClickHouse-Extras,icudata,https://github.com/ClickHouse-Extras/icudata
2021-12-19,1,0,Reed-Solomon Erasure Coding in Go,klauspost,reedsolomon,https://github.com/klauspost/reedsolomon
2021-12-19,311,0,,JSsixtyfour,smashremix,https://github.com/JSsixtyfour/smashremix
2021-12-19,9,0,ZX-80 computer clone with ATmega8 processor and with BASIC interpreter written in AVR assembler.,Panda381,ATX80,https://github.com/Panda381/ATX80
2021-12-19,6,0,Repository public IOCLA,systems-cs-pub-ro,iocla,https://github.com/systems-cs-pub-ro/iocla
2021-12-19,1,1,BLHeli for brushless ESC firmware,bitdump,BLHeli,https://github.com/bitdump/BLHeli
2021-12-19,3,0,the official Rust and C implementations of the BLAKE3 cryptographic hash function,BLAKE3-team,BLAKE3,https://github.com/BLAKE3-team/BLAKE3
2021-12-19,175,2,Decompilation of The Legend of Zelda: The Minish Cap (USA/JP/EU),zeldaret,tmc,https://github.com/zeldaret/tmc
2021-12-19,16,1,"The original sources of MS-DOS 1.25 and 2.0, for reference purposes",microsoft,MS-DOS,https://github.com/microsoft/MS-DOS
