date,stargazers,starsToday,description,owner,name,url
2021-12-19,2,14,Universal MCT wrapper script for all Windows 10/11 versions from 1507 to 21H2!,AveYo,MediaCreationTool.bat,https://github.com/AveYo/MediaCreationTool.bat
2021-12-19,2,3,Вопросы и ответы к интервью Java разработчика,enhorse,java-interview,https://github.com/enhorse/java-interview
2021-12-19,210,1,A Windows 11 application to easily install and use the Windows Subsystem For Android™ package on your computer.,voletro,wsa-toolbox,https://github.com/voletro/wsa-toolbox
2021-12-19,9,1,,MarcelCyan,FreeRDP,https://github.com/MarcelCyan/FreeRDP
2021-12-19,,,,brpcmhgqd,freeRDP1,https://github.com/brpcmhgqd/freeRDP1
2021-12-19,1,1,Specification for streaming massive heterogeneous 3D geospatial datasets 🌎,CesiumGS,3d-tiles,https://github.com/CesiumGS/3d-tiles
2021-12-19,1,1,,SAFOOOO,rdpfree,https://github.com/SAFOOOO/rdpfree
2021-12-19,,,,Baru01,FreeRDP-1,https://github.com/Baru01/FreeRDP-1
2021-12-19,3,0,,ObaSPro,VpS-Trial,https://github.com/ObaSPro/VpS-Trial
2021-12-19,7,0,,dangelochristiansen,Tech-To-Bangla,https://github.com/dangelochristiansen/Tech-To-Bangla
2021-12-19,,,,sksjed,free_rdp,https://github.com/sksjed/free_rdp
2021-12-19,3,0,,NightBOTDeveloper,freerdp1,https://github.com/NightBOTDeveloper/freerdp1
2021-12-19,103,0,UnrealPak 4.27.0 [ Tool ] -extract *.pak files for Unreal Engine 4 [win64],allcoolthingsatoneplace,UnrealPakTool,https://github.com/allcoolthingsatoneplace/UnrealPakTool
2021-12-19,508,0,An unofficial package of generic Realtek Universal Audio Driver made from parts of various OEM specific Reatek Universal Audio drivers intended to work on legacy systems lacking OEM UAD support.,pal1000,Realtek-UAD-generic,https://github.com/pal1000/Realtek-UAD-generic
2021-12-19,13,0,Kali xRDP GUI for WSL1 & WSL2,DesktopECHO,Kali-xRDP,https://github.com/DesktopECHO/Kali-xRDP
2021-12-19,2,0,,BuiDoiChoGioi,NEW-RDP-2020,https://github.com/BuiDoiChoGioi/NEW-RDP-2020
2021-12-19,1,0,,aymenomrani43,FreeRdp,https://github.com/aymenomrani43/FreeRdp
2021-12-19,710,0,A development kit for NodeMCU firmware,nodemcu,nodemcu-devkit,https://github.com/nodemcu/nodemcu-devkit
2021-12-19,2,0,Windows 10 VPS,aiko-chan-ai,windows-rdp,https://github.com/aiko-chan-ai/windows-rdp
2021-12-19,32,0,Change hop limit on windows to bypass the hotspot from mobile provider to use other source of mobile data,muhamaddarulhadi,Hotspot,https://github.com/muhamaddarulhadi/Hotspot
2021-12-19,4,0,Modpack containing the latest & best of Fabric.,TeamAOF,All-of-Fabric-5,https://github.com/TeamAOF/All-of-Fabric-5
2021-12-19,1,0,,kmammou,v-hacd-data,https://github.com/kmammou/v-hacd-data
2021-12-19,2,1,,Cyb3rgirl,coffinrdp,https://github.com/Cyb3rgirl/coffinrdp
2021-12-19,,,,UNCLONE,FREE-RDP,https://github.com/UNCLONE/FREE-RDP
2021-12-19,,,,vs454545,WindowsRDP-1,https://github.com/vs454545/WindowsRDP-1
