date,stargazers,starsToday,description,owner,name,url
2021-12-19,7,12,Open Source Web Application Framework for ASP.NET Core,abpframework,abp,https://github.com/abpframework/abp
2021-12-19,5,4,Unity3D Client And C# Server Framework,egametang,ET,https://github.com/egametang/ET
2021-12-19,4,2,Mixed Reality Toolkit (MRTK) provides a set of components and features to accelerate cross-platform MR app development in Unity.,microsoft,MixedRealityToolkit-Unity,https://github.com/microsoft/MixedRealityToolkit-Unity
2021-12-19,200,29,,DinoChan,Loaf,https://github.com/DinoChan/Loaf
2021-12-19,8,13,Orleans is a cross-platform framework for building distributed applications with .NET,dotnet,orleans,https://github.com/dotnet/orleans
2021-12-19,31,14,PowerShell for every system!,PowerShell,PowerShell,https://github.com/PowerShell/PowerShell
2021-12-19,4,1,Sample apps built using the Xamarin.Forms framework,xamarin,xamarin-forms-samples,https://github.com/xamarin/xamarin-forms-samples
2021-12-19,904,0,Sample code for the Microsoft Cognitive Services Speech SDK,Azure-Samples,cognitive-services-speech-sdk,https://github.com/Azure-Samples/cognitive-services-speech-sdk
2021-12-19,9,1,"Ip2region is a offline IP location library with accuracy rate of 99.9% and 0.0x millseconds searching performance. DB file is ONLY a few megabytes with all IP address stored. binding for Java,PHP,C,Python,Nodejs,Golang,C#,lua. Binary,B-tree,Memory searching algorithm",lionsoul2014,ip2region,https://github.com/lionsoul2014/ip2region
2021-12-19,3,2,This repository is for active development of the Azure SDK for .NET. For consumers of the SDK we recommend visiting our public developer docs at https://docs.microsoft.com/dotnet/azure/ or our versioned developer docs at https://azure.github.io/azure-sdk-for-net.,Azure,azure-sdk-for-net,https://github.com/Azure/azure-sdk-for-net
2021-12-19,9,3,Documentation for ASP.NET Core,dotnet,AspNetCore.Docs,https://github.com/dotnet/AspNetCore.Docs
2021-12-19,3,1,"Welcome to the home of the Hot Chocolate GraphQL server for .NET, the Strawberry Shake GraphQL client for .NET and Banana Cake Pop the awesome Monaco based GraphQL IDE.",ChilliCream,hotchocolate,https://github.com/ChilliCream/hotchocolate
2021-12-19,19,9,"Cross-platform .NET sample microservices and container based application that runs on Linux Windows and macOS. Powered by .NET 6, Docker Containers and Azure Kubernetes Services. Supports Visual Studio, VS for Mac and CLI based environments with Docker CLI, dotnet CLI, VS Code or any other code editor.",dotnet-architecture,eShopOnContainers,https://github.com/dotnet-architecture/eShopOnContainers
2021-12-19,5,6,"mRemoteNG is the next generation of mRemote, open source, tabbed, multi-protocol, remote connections manager.",mRemoteNG,mRemoteNG,https://github.com/mRemoteNG/mRemoteNG
2021-12-19,278,3,Unity SDK for building games that interact with blockchains.,ChainSafe,web3.unity,https://github.com/ChainSafe/web3.unity
2021-12-19,8,5,.NET (WPF and Windows Forms) bindings for the Chromium Embedded Framework,cefsharp,CefSharp,https://github.com/cefsharp/CefSharp
2021-12-19,26,9,"ASP.NET Core is a cross-platform .NET framework for building modern cloud-based web applications on Windows, Mac, or Linux.",dotnet,aspnetcore,https://github.com/dotnet/aspnetcore
2021-12-19,3,2,UIEffect is an effect component for uGUI element in Unity. Let's decorate your UI with effects!,mob-sakai,UIEffect,https://github.com/mob-sakai/UIEffect
2021-12-19,6,7,"Sample ASP.NET Core 6.0 reference application, powered by Microsoft, demonstrating a layered application architecture with monolithic deployment model. Download the eBook PDF from docs folder.",dotnet-architecture,eShopOnWeb,https://github.com/dotnet-architecture/eShopOnWeb
2021-12-19,4,4,A toolkit for developing high-performance HTTP reverse proxy applications.,microsoft,reverse-proxy,https://github.com/microsoft/reverse-proxy
2021-12-19,12,3,Unity Machine Learning Agents Toolkit,Unity-Technologies,ml-agents,https://github.com/Unity-Technologies/ml-agents
2021-12-19,5,1,GraphQL for .NET,graphql-dotnet,graphql-dotnet,https://github.com/graphql-dotnet/graphql-dotnet
2021-12-19,1,4,Examples and Tutorials of Event Sourcing in .NET,oskardudycz,EventSourcing.NetCore,https://github.com/oskardudycz/EventSourcing.NetCore
2021-12-19,511,0,Microsoft.Data.SqlClient provides database connectivity to SQL Server for .NET applications.,dotnet,SqlClient,https://github.com/dotnet/SqlClient
2021-12-19,8,4,The official repo for the design of the C# programming language,dotnet,csharplang,https://github.com/dotnet/csharplang
