date,stargazers,starsToday,description,owner,name,url
2021-12-19,5,57,A monitor of resources,aristocratos,btop,https://github.com/aristocratos/btop
2021-12-19,15,126,"Cross-platform, customizable ML solutions for live and streaming media.",google,mediapipe,https://github.com/google/mediapipe
2021-12-19,4,160,mold: A Modern Linker,rui314,mold,https://github.com/rui314/mold
2021-12-19,79,189,"The new Windows Terminal and the original Windows console host, all in the same place!",microsoft,terminal,https://github.com/microsoft/terminal
2021-12-19,1,19,Drop any files to any devices on your LAN.,LANDrop,LANDrop,https://github.com/LANDrop/LANDrop
2021-12-19,33,16,Dear ImGui: Bloat-free Graphical User interface for C++ with minimal dependencies,ocornut,imgui,https://github.com/ocornut/imgui
2021-12-19,15,3,Parsing gigabytes of JSON per second,simdjson,simdjson,https://github.com/simdjson/simdjson
2021-12-19,454,10,A new C++ vectorized database acceleration library aimed to optimizing query engines and data processing systems.,facebookincubator,velox,https://github.com/facebookincubator/velox
2021-12-19,6,2,"ArduPlane, ArduCopter, ArduRover, ArduSub source",ArduPilot,ardupilot,https://github.com/ArduPilot/ardupilot
2021-12-19,27,13,JSON for Modern C++,nlohmann,json,https://github.com/nlohmann/json
2021-12-19,99,16,"Build cross-platform desktop apps with JavaScript, HTML, and CSS",electron,electron,https://github.com/electron/electron
2021-12-19,52,14,Tensors and Dynamic neural networks in Python with strong GPU acceleration,pytorch,pytorch,https://github.com/pytorch/pytorch
2021-12-19,4,2,C++ implementation of the Google logging module,google,glog,https://github.com/google/glog
2021-12-19,1,5,"GTSAM is a library of C++ classes that implement smoothing and mapping (SAM) in robotics and vision, using factor graphs and Bayes networks as the underlying computing paradigm rather than sparse matrices.",borglab,gtsam,https://github.com/borglab/gtsam
2021-12-19,4,3,DuckDB is an in-process SQL OLAP Database Management System,duckdb,duckdb,https://github.com/duckdb/duckdb
2021-12-19,16,9,"SRS is a simple, high efficiency and realtime video server, supports RTMP, WebRTC, HLS, HTTP-FLV, SRT and GB28181.",ossrs,srs,https://github.com/ossrs/srs
2021-12-19,21,15,ClickHouse® is a free analytics DBMS for big data,ClickHouse,ClickHouse,https://github.com/ClickHouse/ClickHouse
2021-12-19,5,5,"ONNX Runtime: cross-platform, high performance ML inferencing and training accelerator",microsoft,onnxruntime,https://github.com/microsoft/onnxruntime
2021-12-19,17,18,C++那些事,Light-City,CPlusPlusThings,https://github.com/Light-City/CPlusPlusThings
2021-12-19,11,6,Open standard for machine learning interoperability,onnx,onnx,https://github.com/onnx/onnx
2021-12-19,24,9,GoogleTest - Google Testing and Mocking Framework,google,googletest,https://github.com/google/googletest
2021-12-19,3,8,"G-code generator for 3D printers (RepRap, Makerbot, Ultimaker etc.)",prusa3d,PrusaSlicer,https://github.com/prusa3d/PrusaSlicer
2021-12-19,7,10,MSVC's implementation of the C++ Standard Library.,microsoft,STL,https://github.com/microsoft/STL
2021-12-19,32,13,"The C based gRPC (C++, Python, Ruby, Objective-C, PHP, C#)",grpc,grpc,https://github.com/grpc/grpc
2021-12-19,7,17,Control WS2812B and many more types of digital RGB LEDs with an ESP8266 or ESP32 over WiFi!,Aircoookie,WLED,https://github.com/Aircoookie/WLED
