date,stargazers,starsToday,description,owner,name,url
2021-12-19,34,60,OBS Studio - Free and open source software for live streaming and screen recording,obsproject,obs-studio,https://github.com/obsproject/obs-studio
2021-12-19,18,11,Cross-platform asynchronous I/O,libuv,libuv,https://github.com/libuv/libuv
2021-12-19,19,16,Lean's OpenWrt source,coolsnowwolf,lede,https://github.com/coolsnowwolf/lede
2021-12-19,8,0,Event notification library,libevent,libevent,https://github.com/libevent/libevent
2021-12-19,2,4,'Classic' FreeRTOS distribution. Started as Git clone of FreeRTOS SourceForge SVN repo. Submodules the kernel.,FreeRTOS,FreeRTOS,https://github.com/FreeRTOS/FreeRTOS
2021-12-19,212,19,An ultra fast WSGI server for Python 3,jamesroberts,fastwsgi,https://github.com/jamesroberts/fastwsgi
2021-12-19,5,0,Minimalistic C client for Redis >= 1.2,redis,hiredis,https://github.com/redis/hiredis
2021-12-19,122,45,Linux kernel source tree,torvalds,linux,https://github.com/torvalds/linux
2021-12-19,29,4,"Android/iOS video player based on FFmpeg n3.4, with MediaCodec, VideoToolbox support.",bilibili,ijkplayer,https://github.com/bilibili/ijkplayer
2021-12-19,2,10,This project aims to bring back a productive working environment on Windows 11,valinet,ExplorerPatcher,https://github.com/valinet/ExplorerPatcher
2021-12-19,1,2,,fw876,helloworld,https://github.com/fw876/helloworld
2021-12-19,7,7,Tinyhttpd 是J. David Blackstone在1999年写的一个不到 500 行的超轻量型 Http Server，用来学习非常不错，可以帮助我们真正理解服务器程序的本质。官网:http://tinyhttpd.sourceforge.net,EZLippi,Tinyhttpd,https://github.com/EZLippi/Tinyhttpd
2021-12-19,851,4,"FreeRTOS kernel files only, submoduled into https://github.com/FreeRTOS/FreeRTOS and various other repos.",FreeRTOS,FreeRTOS-Kernel,https://github.com/FreeRTOS/FreeRTOS-Kernel
2021-12-19,2,52,你管这破玩意叫操作系统源码 — 像小说一样品读 Linux 0.11 核心代码,sunym1993,flash-linux0.11-talk,https://github.com/sunym1993/flash-linux0.11-talk
2021-12-19,1,2,pongoOS,checkra1n,pongoOS,https://github.com/checkra1n/pongoOS
2021-12-19,2,0,EDK II,tianocore,edk2,https://github.com/tianocore/edk2
2021-12-19,7,3,Espressif IoT Development Framework. Official development framework for Espressif SoCs.,espressif,esp-idf,https://github.com/espressif/esp-idf
2021-12-19,21,6,Emscripten: An LLVM-to-WebAssembly Compiler,emscripten-core,emscripten,https://github.com/emscripten-core/emscripten
2021-12-19,14,2,A little tool to play with Windows security,gentilkiwi,mimikatz,https://github.com/gentilkiwi/mimikatz
2021-12-19,6,2,Extremely Fast Compression algorithm,lz4,lz4,https://github.com/lz4/lz4
2021-12-19,9,1,Embed the Power of Lua into NGINX HTTP servers,openresty,lua-nginx-module,https://github.com/openresty/lua-nginx-module
2021-12-19,32,6,The PHP Interpreter,php,php-src,https://github.com/php/php-src
2021-12-19,8,12,"Powerful and easy-to-use embedded GUI library with many widgets, advanced visual effects (opacity, antialiasing, animations) and low memory requirements (16K RAM, 64K Flash).",lvgl,lvgl,https://github.com/lvgl/lvgl
2021-12-19,6,4,mimalloc is a compact general purpose allocator with excellent performance.,microsoft,mimalloc,https://github.com/microsoft/mimalloc
2021-12-19,3,4,Wazuh - The Open Source Security Platform,wazuh,wazuh,https://github.com/wazuh/wazuh
