date,stargazers,starsToday,description,owner,name,url
2021-12-19,304,7,Code for Vue Mastery's Intro to Vue 3 course:,Code-Pop,Intro-to-Vue-3,https://github.com/Code-Pop/Intro-to-Vue-3
2021-12-19,2,267,Minimal CSS Framework for semantic HTML,picocss,pico,https://github.com/picocss/pico
2021-12-19,28,3,Minimalist templates to discover Pico in action,picocss,examples,https://github.com/picocss/examples
2021-12-19,3,5,🦊 I respect proton UI and aim to improve it.,black7375,Firefox-UI-Fix,https://github.com/black7375/Firefox-UI-Fix
2021-12-19,1,12,,safak,youtube,https://github.com/safak/youtube
2021-12-19,2,1,🍭　Cnblogs theme _ Basic theme : SimpleMemory,BNDong,Cnblogs-Theme-SimpleMemory,https://github.com/BNDong/Cnblogs-Theme-SimpleMemory
2021-12-19,3,3,❤️静态响应式网址导航网站 - webstack.cc,WebStackPage,WebStackPage.github.io,https://github.com/WebStackPage/WebStackPage.github.io
2021-12-19,4,0,圣诞树,edagarli,christmastree,https://github.com/edagarli/christmastree
2021-12-19,1,1,Julia extension for Visual Studio Code,julia-vscode,julia-vscode,https://github.com/julia-vscode/julia-vscode
2021-12-19,4,10,🏗 forkable Ethereum dev stack focused on fast product iterations,scaffold-eth,scaffold-eth,https://github.com/scaffold-eth/scaffold-eth
2021-12-19,1,4,,john-smilga,react-projects,https://github.com/john-smilga/react-projects
2021-12-19,1,7,Next Generation Vue UI Component Library,primefaces,primevue,https://github.com/primefaces/primevue
2021-12-19,7,0,The Most Complete Angular UI Component Library,primefaces,primeng,https://github.com/primefaces/primeng
2021-12-19,73,11,🍿 A cross-browser library of CSS animations. As easy to use as an easy thing.,animate-css,animate.css,https://github.com/animate-css/animate.css
2021-12-19,179,3,Software Developer Portfolio Template built with react.js and next.js bootstrap that helps you showcase your work and skills as a software developer.,1hanzla100,developer-portfolio,https://github.com/1hanzla100/developer-portfolio
2021-12-19,1,4,Orchis is a [Material Design](https://material.io) theme for GNOME/GTK based desktop environments.,vinceliuice,Orchis-theme,https://github.com/vinceliuice/Orchis-theme
2021-12-19,44,5,Modern CSS framework based on Flexbox,jgthms,bulma,https://github.com/jgthms/bulma
2021-12-19,2,1,"Google APIs Client Library for browser JavaScript, aka gapi.",google,google-api-javascript-client,https://github.com/google/google-api-javascript-client
2021-12-19,1,0,🚿 A modern CSS reset,filipelinhares,ress,https://github.com/filipelinhares/ress
2021-12-19,3,1,http://learnopengl.com 系列教程的简体中文翻译,LearnOpenGL-CN,LearnOpenGL-CN,https://github.com/LearnOpenGL-CN/LearnOpenGL-CN
2021-12-19,3,0,"Some CSS tricks,一些 CSS 常用样式",QiShaoXuan,css_tricks,https://github.com/QiShaoXuan/css_tricks
2021-12-19,511,4,Master the creation of Modern UX/UI Websites,adrianhajdin,project_modern_ui_ux_gpt3,https://github.com/adrianhajdin/project_modern_ui_ux_gpt3
2021-12-19,,,,Cryostic,WazzupBrew,https://github.com/Cryostic/WazzupBrew
2021-12-19,3,1,"Starter files, final projects and FAQ for my Advanced CSS course",jonasschmedtmann,advanced-css-course,https://github.com/jonasschmedtmann/advanced-css-course
2021-12-19,7,1,"Build a Jekyll blog in minutes, without touching the command line.",barryclark,jekyll-now,https://github.com/barryclark/jekyll-now
