date,stargazers,starsToday,description,owner,name,url
2021-12-19,629,210,A Proof-Of-Concept for the recently found CVE-2021-44228 vulnerability.,kozmer,log4j-shell-poc,https://github.com/kozmer/log4j-shell-poc
2021-12-19,43,24,Google core libraries for Java,google,guava,https://github.com/google/guava
2021-12-19,6,6,🥤 COLA: Clean Object-oriented & Layered Architecture,alibaba,COLA,https://github.com/alibaba/COLA
2021-12-19,6,2,React Native Local and Remote Notifications,zo0r,react-native-push-notification,https://github.com/zo0r/react-native-push-notification
2021-12-19,23,14,Free universal database tool and SQL client,dbeaver,dbeaver,https://github.com/dbeaver/dbeaver
2021-12-19,3,2,Apache Doris (Incubating),apache,incubator-doris,https://github.com/apache/incubator-doris
2021-12-19,525,49,Vulnerability scanner and mitigation patch for Log4j2 CVE-2021-44228,logpresso,CVE-2021-44228-Scanner,https://github.com/logpresso/CVE-2021-44228-Scanner
2021-12-19,45,7,RxJava – Reactive Extensions for the JVM – a library for composing asynchronous and event-based programs using observable sequences for the Java VM.,ReactiveX,RxJava,https://github.com/ReactiveX/RxJava
2021-12-19,4,65,"Airbyte is an open-source EL(T) platform that helps you replicate your data in your warehouses, lakes and databases.",airbytehq,airbyte,https://github.com/airbytehq/airbyte
2021-12-19,9,10,Quarkus: Supersonic Subatomic Java.,quarkusio,quarkus,https://github.com/quarkusio/quarkus
2021-12-19,6,4,"Apache DolphinScheduler is a distributed and extensible workflow scheduler platform with powerful DAG visual interfaces, dedicated to solving complex job dependencies in the data pipeline and providing various types of jobs available out of box.",apache,dolphinscheduler,https://github.com/apache/dolphinscheduler
2021-12-19,1,5,"Production Ready Data Integration Product, documentation：",InterestingLab,seatunnel,https://github.com/InterestingLab/seatunnel
2021-12-19,45,9,Spring Framework,spring-projects,spring-framework,https://github.com/spring-projects/spring-framework
2021-12-19,143,48,📚 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计,CyC2018,CS-Notes,https://github.com/CyC2018/CS-Notes
2021-12-19,3,0,"Your go-to microservice framework for any situation, from the creator of Netty et al. You can build any type of microservice leveraging your favorite technologies, including gRPC, Thrift, Kotlin, Retrofit, Reactive Streams, Spring Boot and Dropwizard.",line,armeria,https://github.com/line/armeria
2021-12-19,2,1,Based on Apache Flink. support data synchronization/integration and streaming SQL computation.,DTStack,flinkx,https://github.com/DTStack/flinkx
2021-12-19,14,3,High Performance Inter-Thread Messaging Library,LMAX-Exchange,disruptor,https://github.com/LMAX-Exchange/disruptor
2021-12-19,187,3,Dlink 为 Apache Flink 而生，让 Flink SQL 更加丝滑。它是一个交互式的 FlinkSQL Studio，可以在线开发、补全、校验 、执行、预览 FlinkSQL，支持 Flink 官方所有语法及其增强语法，并且可以同时对多 Flink 集群实例进行提交、停止、SavePoint 等运维操作，如同您的 IntelliJ IDEA For Flink SQL。,DataLinkDC,dlink,https://github.com/DataLinkDC/dlink
2021-12-19,6,5,Flyway by Redgate • Database Migrations Made Easy.,flyway,flyway,https://github.com/flyway/flyway
2021-12-19,4,6,"Welcome to the AWS Code Examples Repository. This repo contains code examples used in the AWS documentation, AWS SDK Developer Guides, and more. For more information, see the Readme.rst file below.",awsdocs,aws-doc-sdk-examples,https://github.com/awsdocs/aws-doc-sdk-examples
2021-12-19,10,5,mall学习教程，架构、业务、技术要点全方位解析。mall项目（40k+star）是一套电商系统，使用现阶段主流技术实现。涵盖了SpringBoot 2.3.0、MyBatis 3.4.6、Elasticsearch 7.6.2、RabbitMQ 3.7.15、Redis 5.0、MongoDB 4.2.5、Mysql5.7等技术，采用Docker容器化部署。,macrozheng,mall-learning,https://github.com/macrozheng/mall-learning
2021-12-19,11,5,🏗 Build container images for your Java applications.,GoogleContainerTools,jib,https://github.com/GoogleContainerTools/jib
2021-12-19,2,0,Java client for Kubernetes & OpenShift,fabric8io,kubernetes-client,https://github.com/fabric8io/kubernetes-client
2021-12-19,1,1,This repository is for active development of the Azure SDK for Java. For consumers of the SDK we recommend visiting our public developer docs at https://docs.microsoft.com/java/azure/ or our versioned developer docs at https://azure.github.io/azure-sdk-for-java.,Azure,azure-sdk-for-java,https://github.com/Azure/azure-sdk-for-java
2021-12-19,8,1,A collection of samples demonstrating different frameworks and techniques for automated testing,android,testing-samples,https://github.com/android/testing-samples
