date,stargazers,starsToday,description,owner,name,url
2021-12-19,49,60,Ruby on Rails,rails,rails,https://github.com/rails/rails
2021-12-19,3,2,Annotate Rails classes with schema and routes info,ctran,annotate_models,https://github.com/ctran/annotate_models
2021-12-19,23,2,Vagrant is a tool for building and distributing development environments.,hashicorp,vagrant,https://github.com/hashicorp/vagrant
2021-12-19,9,1,The administration framework for Ruby on Rails applications.,activeadmin,activeadmin,https://github.com/activeadmin/activeadmin
2021-12-19,33,3,🚀 The easiest way to automate building and releasing your iOS and Android apps,fastlane,fastlane,https://github.com/fastlane/fastlane
2021-12-19,9,2,"A library for generating fake data such as names, addresses, and phone numbers.",faker-ruby,faker,https://github.com/faker-ruby/faker
2021-12-19,11,2,"Simple, efficient background processing for Ruby",mperham,sidekiq,https://github.com/mperham/sidekiq
2021-12-19,5,0,ActiveModel::Serializer implementation and Rails hooks,rails-api,active_model_serializers,https://github.com/rails-api/active_model_serializers
2021-12-19,6,0,"Chef Infra, a powerful automation platform that transforms infrastructure into code automating how infrastructure is configured, deployed and managed across any environment, at any scale",chef,chef,https://github.com/chef/chef
2021-12-19,,,,learn-co-curriculum,phase-4-mock-challenge-camping-fun,https://github.com/learn-co-curriculum/phase-4-mock-challenge-camping-fun
2021-12-19,502,2,Use ESM with importmap to manage modern JavaScript in Rails without transpiling or bundling.,rails,importmap-rails,https://github.com/rails/importmap-rails
2021-12-19,11,0,"A Ruby static code analyzer and formatter, based on the community Ruby style guide.",rubocop,rubocop,https://github.com/rubocop/rubocop
2021-12-19,7,0,"Forms made easy for Rails! It's tied to a simple DSL, with no opinion on markup.",heartcombo,simple_form,https://github.com/heartcombo/simple_form
2021-12-19,968,12,"Deploy a no-code admin panel for any application in less than a minute. Search, create, update, and delete data entries, create custom actions, and build reports.",motor-admin,motor-admin,https://github.com/motor-admin/motor-admin
2021-12-19,1,1,Efficient and thread-safe code loader for Ruby,fxn,zeitwerk,https://github.com/fxn/zeitwerk
2021-12-19,5,0,A Rails engine that helps you put together a super-flexible admin dashboard.,thoughtbot,administrate,https://github.com/thoughtbot/administrate
2021-12-19,335,2,"Bundle and transpile JavaScript in Rails with esbuild, rollup.js, or Webpack.",rails,jsbundling-rails,https://github.com/rails/jsbundling-rails
2021-12-19,263,2,"Bundle and process CSS in Rails with Tailwind, PostCSS, and Sass via Node.js.",rails,cssbundling-rails,https://github.com/rails/cssbundling-rails
2021-12-19,2,1,A site to provide non-judgmental guidance on choosing a license for your open source project,github,choosealicense.com,https://github.com/github/choosealicense.com
2021-12-19,7,0,RailsAdmin is a Rails engine that provides an easy-to-use interface for managing your data,railsadminteam,rails_admin,https://github.com/railsadminteam/rails_admin
2021-12-19,7,2,Minimal authorization through OO design and pure Ruby classes,varvet,pundit,https://github.com/varvet/pundit
2021-12-19,18,1,The Ruby Programming Language [mirror],ruby,ruby,https://github.com/ruby/ruby
2021-12-19,4,3,Ruby implementation of GraphQL,rmosolgo,graphql-ruby,https://github.com/rmosolgo/graphql-ruby
2021-12-19,5,0,Object-based searching.,activerecord-hackery,ransack,https://github.com/activerecord-hackery/ransack
2021-12-19,5,2,Use Webpack to manage app-like JavaScript modules in Rails,rails,webpacker,https://github.com/rails/webpacker
