date,stargazers,starsToday,description,owner,name,url
2021-12-19,5,180,"⚓ 我的游戏程序员生涯的读书笔记合辑。你可以把它看作一个加强版的Blog。涉及图形学、实时渲染、编程实践、GPU编程、设计模式、软件工程等内容。Keep Reading , Keep Writing , Keep Coding.",QianMo,Game-Programmer-Study-Notes,https://github.com/QianMo/Game-Programmer-Study-Notes
2021-12-19,683,93,A community sourced list of log4j-affected software,cisagov,log4j-affected-db,https://github.com/cisagov/log4j-affected-db
2021-12-19,85,63,📚 免费的计算机编程类中文书籍，欢迎投稿,justjavac,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN
2021-12-19,147,44,A book series on JavaScript. @YDKJS on twitter.,getify,You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS
2021-12-19,138,13,阿巴阿巴阿巴阿巴阿巴阿巴阿巴阿巴,bulianglin,demo,https://github.com/bulianglin/demo
2021-12-19,2,7,這是 Will 保哥在 2013 第 6 屆 iT 邦幫忙鐵人賽年度大獎的得獎著作【30 天精通 Git 版本控管】，歡迎大家 fork 我，如果有看見任何文字勘誤，也歡迎利用 pull request 來通知我修正，謝謝！,doggy8088,Learn-Git-in-30-days,https://github.com/doggy8088/Learn-Git-in-30-days
2021-12-19,662,15,Chinese translation of Bjarne Stroustrup's HOPL4 paper,Cpp-Club,Cxx_HOPL4_zh,https://github.com/Cpp-Club/Cxx_HOPL4_zh
2021-12-19,7,3,"🌄The Cloud Native Interactive Landscape filters and sorts hundreds of projects and products, and shows details including GitHub stars, funding or market cap, first and last commits, contributor counts, headquarters location, and recent tweets.",cncf,landscape,https://github.com/cncf/landscape
2021-12-19,33,89,"Curated list of design and UI resources from stock photos, web templates, CSS frameworks, UI libraries, tools and much more",bradtraversy,design-resources-for-developers,https://github.com/bradtraversy/design-resources-for-developers
2021-12-19,2,42,A public list of open-source challenges from jobs around the world,CollabCodeTech,backend-challenges,https://github.com/CollabCodeTech/backend-challenges
2021-12-19,6,142,天涯 kkndme 神贴聊房价,shengcaishizhan,kkndme_tianya,https://github.com/shengcaishizhan/kkndme_tianya
2021-12-19,20,14,科技爱好者周刊，每周五发布,ruanyf,weekly,https://github.com/ruanyf/weekly
2021-12-19,168,41,,NVlabs,eg3d,https://github.com/NVlabs/eg3d
2021-12-19,8,8,A collection of Linux Sysadmin Test Questions and Answers. Test your knowledge and skills in different fields with these Q/A.,trimstray,test-your-sysadmin-skills,https://github.com/trimstray/test-your-sysadmin-skills
2021-12-19,23,53,A Windows/macOS GUI based on Clash,Fndroid,clash_for_windows_pkg,https://github.com/Fndroid/clash_for_windows_pkg
2021-12-19,7,5,国内低代码平台从业者交流,taowen,awesome-lowcode,https://github.com/taowen/awesome-lowcode
2021-12-19,1,16,Top-Conferences-Paper-with-Code (ACL、EMNLP、NAACL、COLING、AAAI、IJCAI、NeurIPS、ICLR and etc),MLNLP-World,Top-AI-Conferences-Paper-with-Code,https://github.com/MLNLP-World/Top-AI-Conferences-Paper-with-Code
2021-12-19,13,22,📊 Path to a free self-taught education in Data Science!,ossu,data-science,https://github.com/ossu/data-science
2021-12-19,106,15,An Awesome List of Log4Shell resources to help you stay informed and secure! 🔒,snyk-labs,awesome-log4shell,https://github.com/snyk-labs/awesome-log4shell
2021-12-19,2,12,"PlayCover is a project that allows you to sideload iOS apps on macOS (currently arm, Intel support will be tested)",iVoider,PlayCover,https://github.com/iVoider/PlayCover
2021-12-19,39,19,Learn regex the easy way,ziishaned,learn-regex,https://github.com/ziishaned/learn-regex
2021-12-19,3,11,Tradução do livro Eloquent JavaScript - 2ª edição.,braziljs,eloquente-javascript,https://github.com/braziljs/eloquente-javascript
2021-12-19,3,2,This repo contains samples that demonstrate the API used in Windows classic desktop applications.,microsoft,Windows-classic-samples,https://github.com/microsoft/Windows-classic-samples
2021-12-19,674,6,Material UI mod for FFXIV,skotlex,ffxiv-material-ui,https://github.com/skotlex/ffxiv-material-ui
2021-12-19,211,1,"Microswitch probe with magnetic attachement, primarily aimed at CoreXY 3d printers",jlas1,Klicky-Probe,https://github.com/jlas1/Klicky-Probe
