date,stargazers,starsToday,description,owner,name,url
2021-12-21,35,26,"SecLists is the security tester's companion. It's a collection of multiple types of lists used during security assessments, collected in one place. List types include usernames, passwords, URLs, sensitive data patterns, fuzzing payloads, web shells, and many more.",danielmiessler,SecLists,https://github.com/danielmiessler/SecLists
2021-12-21,2,1,A server software for Minecraft: Bedrock Edition in PHP,pmmp,PocketMine-MP,https://github.com/pmmp/PocketMine-MP
2021-12-21,13,5,Laravel Debugbar (Integrates PHP Debug Bar),barryvdh,laravel-debugbar,https://github.com/barryvdh/laravel-debugbar
2021-12-21,9,3,PHP_CodeSniffer tokenizes PHP files and detects violations of a defined set of coding standards.,squizlabs,PHP_CodeSniffer,https://github.com/squizlabs/PHP_CodeSniffer
2021-12-21,13,1,"Modern, Crazy Fast, Ridiculously Easy and Amazingly Powerful Flat-File CMS powered by PHP, Markdown, Twig, and Symfony",getgrav,grav,https://github.com/getgrav/grav
2021-12-21,672,159,DooTask是一款轻量级的开源在线项目任务管理工具，提供各类文档协作工具、在线思维导图、在线流程图、项目管理、任务分发、即时IM，文件管理等工具。,kuaifan,dootask,https://github.com/kuaifan/dootask
2021-12-21,165,29,"laravel package help you to implement geographical calculation, with several algorithms that help you deal with coordinates and distances.",karam-mustafa,laravel-geographical-calculator,https://github.com/karam-mustafa/laravel-geographical-calculator
2021-12-21,15,9,A PHP parser written in PHP,nikic,PHP-Parser,https://github.com/nikic/PHP-Parser
2021-12-21,3,2,Open Source PHP Framework (originally from EllisLab),codeigniter4,CodeIgniter4,https://github.com/codeigniter4/CodeIgniter4
2021-12-21,2,0,"Pterodactyl is an open-source game server management panel built with PHP 7, React, and Go. Designed with security in mind, Pterodactyl runs all game servers in isolated Docker containers while exposing a beautiful and intuitive UI to end users.",pterodactyl,panel,https://github.com/pterodactyl/panel
2021-12-21,15,7,"Personal CRM. Remember everything about your friends, family and business relationships.",monicahq,monica,https://github.com/monicahq/monica
2021-12-21,17,17,"Nextcloud server, a safe home for all your data",nextcloud,server,https://github.com/nextcloud/server
2021-12-21,13,1,"Yii 2: The Fast, Secure and Professional PHP Framework",yiisoft,yii2,https://github.com/yiisoft/yii2
2021-12-21,971,1,,pentestmonkey,php-reverse-shell,https://github.com/pentestmonkey/php-reverse-shell
2021-12-21,6,1,The CssSelector component converts CSS selectors to XPath expressions.,symfony,css-selector,https://github.com/symfony/css-selector
2021-12-21,885,1,"一个多彩，轻松上手，体验完善，具有强大自定义功能的WordPress主题（基于Sakura主题）A Colorful, Easy-to-use, Perfect Experience, and Powerful Customizable WordPress Theme (Based on Theme Sakura)",mirai-mamori,Sakurairo,https://github.com/mirai-mamori/Sakurairo
2021-12-21,3,0,The DomCrawler component eases DOM navigation for HTML and XML documents.,symfony,dom-crawler,https://github.com/symfony/dom-crawler
2021-12-21,8,2,,phpDocumentor,ReflectionDocBlock,https://github.com/phpDocumentor/ReflectionDocBlock
2021-12-21,8,2,,phpDocumentor,ReflectionCommon,https://github.com/phpDocumentor/ReflectionCommon
2021-12-21,8,3,"Library that provides collection, processing, and rendering functionality for PHP code coverage information.",sebastianbergmann,php-code-coverage,https://github.com/sebastianbergmann/php-code-coverage
2021-12-21,8,3,"A PSR-5 based resolver of Class names, Types and Structural Element Names",phpDocumentor,TypeResolver,https://github.com/phpDocumentor/TypeResolver
2021-12-21,31,2,"File Upload widget with multiple file selection, drag&drop support, progress bar, validation and preview images, audio and video for jQuery. Supports cross-domain, chunked and resumable file uploads. Works with any server-side platform (Google App Engine, PHP, Python, Ruby on Rails, Java, etc.) that supports standard HTML form file uploads.",blueimp,jQuery-File-Upload,https://github.com/blueimp/jQuery-File-Upload
2021-12-21,2,3,"The BrowserKit component simulates the behavior of a web browser, allowing you to make requests, click on links and submit forms programmatically.",symfony,browser-kit,https://github.com/symfony/browser-kit
2021-12-21,2,5,"Docker - Beginners | Intermediate | Advanced",collabnix,dockerlabs,https://github.com/collabnix/dockerlabs
2021-12-21,6,8,Firefly III: a personal finances manager,firefly-iii,firefly-iii,https://github.com/firefly-iii/firefly-iii
