date,stargazers,starsToday,description,owner,name,url
2021-12-23,3,0,R for data science: a book,hadley,r4ds,https://github.com/hadley/r4ds
2021-12-23,314,1,"Robyn is an experimental, automated and open-sourced Marketing Mix Modeling (MMM) package from Facebook Marketing Science. It uses various machine learning techniques (Ridge regression with cross validation, multi-objective evolutionary algorithm for hyperparameter optimisation, gradient-based optimisation for budget allocation etc.) to define m…",facebookexperimental,Robyn,https://github.com/facebookexperimental/Robyn
2021-12-23,1,1,R toolkit for single cell genomics,satijalab,seurat,https://github.com/satijalab/seurat
2021-12-23,3,1,A collection of interactive courses for the swirl R package.,swirldev,swirl_courses,https://github.com/swirldev/swirl_courses
2021-12-23,2,0,A general-purpose tool for dynamic report generation in R,yihui,knitr,https://github.com/yihui/knitr
2021-12-23,550,6,"Models' quality and performance metrics (R2, ICC, LOO, AIC, BF, ...)",easystats,performance,https://github.com/easystats/performance
2021-12-23,318,0,Epidemiological Data from the COVID-19 Epidemic in Canada,ccodwg,Covid19Canada,https://github.com/ccodwg/Covid19Canada
2021-12-23,1,1,Machine Learning in R,mlr-org,mlr,https://github.com/mlr-org/mlr
2021-12-23,216,1,"R toolkit for inference, visualization and analysis of cell-cell communication from single-cell data",sqjin,CellChat,https://github.com/sqjin/CellChat
2021-12-23,1,0,Statistical Rethinking course and book package,rmcelreath,rethinking,https://github.com/rmcelreath/rethinking
2021-12-23,392,0,Visualizations of distributions and uncertainty,mjskay,ggdist,https://github.com/mjskay/ggdist
2021-12-23,5,0,An implementation of the Grammar of Graphics in R,tidyverse,ggplot2,https://github.com/tidyverse/ggplot2
2021-12-23,280,2,Inferring CNV from Single-Cell RNA-Seq,broadinstitute,infercnv,https://github.com/broadinstitute/infercnv
2021-12-23,4,0,Easy interactive web applications with R,rstudio,shiny,https://github.com/rstudio/shiny
2021-12-23,1,0,Tidy Messy Data,tidyverse,tidyr,https://github.com/tidyverse/tidyr
2021-12-23,404,1,"phyloseq is a set of classes, wrappers, and tools (in R) to make it easier to import, store, and analyze phylogenetic sequencing data; and to reproducibly share that data and analysis with others. See the phyloseq front page:",joey711,phyloseq,https://github.com/joey711/phyloseq
2021-12-23,324,0,R Source Code,SurajGupta,r-source,https://github.com/SurajGupta/r-source
2021-12-23,2,0,Tools to make an R developer's life easier,r-lib,devtools,https://github.com/r-lib/devtools
2021-12-23,,,,Chishio318,Environmental-Kuznets-Curve,https://github.com/Chishio318/Environmental-Kuznets-Curve
2021-12-23,564,2,Building R packages,hadley,r-pkgs,https://github.com/hadley/r-pkgs
2021-12-23,243,0,Slides and exercises for the video tutorial at https://shiny.rstudio.com/tutorial/,rstudio-education,shiny.rstudio.com-tutorial,https://github.com/rstudio-education/shiny.rstudio.com-tutorial
2021-12-23,270,0,"Fast, sensitive and accurate integration of single-cell data with Harmony",immunogenomics,harmony,https://github.com/immunogenomics/harmony
2021-12-23,141,1,R toolkit for the analysis of single-cell chromatin data,timoast,signac,https://github.com/timoast/signac
2021-12-23,13,0,Run the PACTA analysis on EQ & CB portfolios,2DegreesInvesting,PACTA_analysis,https://github.com/2DegreesInvesting/PACTA_analysis
2021-12-23,5,0,Functions and workflows to run financial stress tests on climate change related risk types,2DegreesInvesting,r2dii.climate.stress.test,https://github.com/2DegreesInvesting/r2dii.climate.stress.test
