date,stargazers,starsToday,description,owner,name,url
2021-12-25,10,12,"♞ lichess.org: the forever free, adless and open source chess server ♞",ornicar,lila,https://github.com/ornicar/lila
2021-12-25,866,1,"Apache Kyuubi is a distributed multi-tenant JDBC server for large-scale data processing and analytics, built on top of Apache Spark",apache,incubator-kyuubi,https://github.com/apache/incubator-kyuubi
2021-12-25,6,2,Snowflake is a network service for generating unique ID numbers at high scale with some simple guarantees.,twitter-archive,snowflake,https://github.com/twitter-archive/snowflake
2021-12-25,31,5,Apache Spark - A unified analytics engine for large-scale data processing,apache,spark,https://github.com/apache/spark
2021-12-25,2,1,Wire for Android,wireapp,wire-android,https://github.com/wireapp/wire-android
2021-12-25,26,1,A schema-aware Scala library for data transformation,galliaproject,gallia-core,https://github.com/galliaproject/gallia-core
2021-12-25,670,2,Mirror of Apache livy (Incubating),apache,incubator-livy,https://github.com/apache/incubator-livy
2021-12-25,2,2,Wonderful reusable code from Twitter,twitter,util,https://github.com/twitter/util
2021-12-25,68,2,"Feral cats are homeless, feral functions are serverless",typelevel,feral,https://github.com/typelevel/feral
2021-12-25,44,0,"Advent of Code solutions of 2015, 2016, 2017, 2018, 2019, 2020 and 2021 in Scala",sim642,adventofcode,https://github.com/sim642/adventofcode
2021-12-25,2,1,"Fast, testable, Scala services built on TwitterServer and Finagle",twitter,finatra,https://github.com/twitter/finatra
2021-12-25,497,1,Productivity-oriented collection of lightweight fancy stuff for Scala toolchain,7mind,izumi,https://github.com/7mind/izumi
2021-12-25,8,1,"A fault tolerant, protocol-agnostic RPC system",twitter,finagle,https://github.com/twitter/finagle
2021-12-25,1,1,深圳地铁大数据客流分析系统,geekyouth,SZT-bigdata,https://github.com/geekyouth/SZT-bigdata
2021-12-25,269,1,"This project provides Apache Spark SQL, RDD, DataFrame and Dataset examples in Scala language",spark-examples,spark-scala-examples,https://github.com/spark-examples/spark-scala-examples
2021-12-25,1,2,Twitter-Server defines a template from which services at Twitter are built,twitter,twitter-server,https://github.com/twitter/twitter-server
2021-12-25,747,0,A Thrift parser/generator,twitter,scrooge,https://github.com/twitter/scrooge
2021-12-25,8,0,"A Git platform powered by Scala with easy installation, high extensibility & GitHub API compatibility",gitbucket,gitbucket,https://github.com/gitbucket/gitbucket
2021-12-25,1,0,Compile-time Language Integrated Queries for Scala,zio,zio-quill,https://github.com/zio/zio-quill
2021-12-25,4,1,A machine learning package built for humans.,airbnb,aerosolve,https://github.com/airbnb/aerosolve
2021-12-25,8,0,"Removes large or troublesome blobs like git-filter-branch does, but faster. And written in Scala",rtyley,bfg-repo-cleaner,https://github.com/rtyley/bfg-repo-cleaner
2021-12-25,92,1,PrestaShop technical documentation,PrestaShop,docs,https://github.com/PrestaShop/docs
2021-12-25,647,0,The Daml smart contract language,digital-asset,daml,https://github.com/digital-asset/daml
2021-12-25,4,0,"sbt, the interactive build tool",sbt,sbt,https://github.com/sbt/sbt
2021-12-25,111,0,V Systems Reference Full Node,virtualeconomy,v-systems,https://github.com/virtualeconomy/v-systems
