date,stargazers,starsToday,description,owner,name,url
2021-12-26,996,19,Courseplay for Farming Simulator 2019,Courseplay,courseplay,https://github.com/Courseplay/courseplay
2021-12-26,408,35,NeoVim dark colorscheme inspired by the colors of the famous painting by Katsushika Hokusai.,rebelot,kanagawa.nvim,https://github.com/rebelot/kanagawa.nvim
2021-12-26,3,8,Quickstart configurations for the Nvim LSP client,neovim,nvim-lspconfig,https://github.com/neovim/nvim-lspconfig
2021-12-26,252,0,Farming Simulator 2019: Smoother steering with the key board and more...,Mogli12,VehicleControlAddon,https://github.com/Mogli12/VehicleControlAddon
2021-12-26,337,1,A well configured and structured Neovim.,ayamir,nvimdots,https://github.com/ayamir/nvimdots
2021-12-26,121,8,FS22 version of the AutoDrive mod,Stephan-S,FS22_AutoDrive,https://github.com/Stephan-S/FS22_AutoDrive
2021-12-26,7,8,The Cloud-Native API Gateway,apache,apisix,https://github.com/apache/apisix
2021-12-26,1,5,"A use-package inspired plugin manager for Neovim. Uses native packages, supports Luarocks dependencies, written in Lua, allows for expressive config",wbthomason,packer.nvim,https://github.com/wbthomason/packer.nvim
2021-12-26,65,1,"FS22. Farming Simulator 22. LS22. Landwirtschafts Simulator 22. Track assistant, differential locks, wheel drive modes and better hydraulics controls for your vehicle. Shows more vehicle details on HUD.",ZhooL,FS22_EnhancedVehicle,https://github.com/ZhooL/FS22_EnhancedVehicle
2021-12-26,1,1,Widgets for Awesome Window Manager,streetturtle,awesome-wm-widgets,https://github.com/streetturtle/awesome-wm-widgets
2021-12-26,9,6,"An ebook reader application supporting PDF, DjVu, EPUB, FB2 and many more formats, running on Cervantes, Kindle, Kobo, PocketBook and Android devices",koreader,koreader,https://github.com/koreader/koreader
2021-12-26,16,0,Police Job & Evidence System For QB-Core,qbcore-framework,qb-policejob,https://github.com/qbcore-framework/qb-policejob
2021-12-26,4,8,Web-based Traffic and Security Network Traffic Monitoring,ntop,ntopng,https://github.com/ntop/ntopng
2021-12-26,1,11,Modernity meets insane extensibility. The future of organizing your life in Neovim.,nvim-neorg,neorg,https://github.com/nvim-neorg/neorg
2021-12-26,15,0,Script For Buying Vehicles Used With QB-Core,qbcore-framework,qb-vehicleshop,https://github.com/qbcore-framework/qb-vehicleshop
2021-12-26,1,6,A blazing fast and easy to configure neovim statusline plugin written in pure lua.,nvim-lualine,lualine.nvim,https://github.com/nvim-lualine/lualine.nvim
2021-12-26,1,10,A file explorer tree for neovim written in lua,kyazdani42,nvim-tree.lua,https://github.com/kyazdani42/nvim-tree.lua
2021-12-26,5,0,Radio Script With UI,qbcore-framework,qb-radio,https://github.com/qbcore-framework/qb-radio
2021-12-26,1,1,Offline build planner for Path of Exile.,PathOfBuildingCommunity,PathOfBuilding,https://github.com/PathOfBuildingCommunity/PathOfBuilding
2021-12-26,35,0,A collection of every roblox script ive aquired,PhoenixAceVFX,Roblox-Scripts,https://github.com/PhoenixAceVFX/Roblox-Scripts
2021-12-26,1,3,HelloWorld是一个以用户最佳主观体验为导向的插件，它支持多种主流协议和多种自定义视频分流服务，拥有精美的操作界面，并配上直观的节点信息。,jerrykuku,luci-app-vssr,https://github.com/jerrykuku/luci-app-vssr
2021-12-26,1,5,Indent guides for Neovim,lukas-reineke,indent-blankline.nvim,https://github.com/lukas-reineke/indent-blankline.nvim
2021-12-26,30,1,A better interaction system for FiveM,BerkieBb,qb-target,https://github.com/BerkieBb/qb-target
2021-12-26,102,0,Some,RuisSoftware,FiveM-Resources,https://github.com/RuisSoftware/FiveM-Resources
2021-12-26,7,7,"An attempt to make neovim cli as functional as an IDE while being very beautiful, blazing fast.",NvChad,NvChad,https://github.com/NvChad/NvChad
