date,stargazers,starsToday,description,owner,name,url
2021-12-28,130,190,Algorithms and data structures implemented in JavaScript with explanations and links to further readings,trekhleb,javascript-algorithms,https://github.com/trekhleb/javascript-algorithms
2021-12-28,15,350,AI拟声: 5秒内克隆您的声音并生成任意语音内容 Clone a voice in 5 seconds to generate arbitrary speech in real-time,babysor,MockingBird,https://github.com/babysor/MockingBird
2021-12-28,90,254,Short JavaScript code snippets for all your development needs,30-seconds,30-seconds-of-code,https://github.com/30-seconds/30-seconds-of-code
2021-12-28,6,43,The fastest way to build Svelte apps,sveltejs,kit,https://github.com/sveltejs/kit
2021-12-28,244,20,Image Sharing Social Media App,adrianhajdin,project_shareme_social_media,https://github.com/adrianhajdin/project_shareme_social_media
2021-12-28,2,5,"A beautiful, simple, clean, and responsive Jekyll theme for academics",alshedivat,al-folio,https://github.com/alshedivat/al-folio
2021-12-28,11,22,"Mini projects built with HTML5, CSS & JavaScript. No frameworks or libraries",bradtraversy,vanillawebprojects,https://github.com/bradtraversy/vanillawebprojects
2021-12-28,2,31,HashLips Art Engine is a tool used to create multiple different instances of artworks based on provided layers.,HashLips,hashlips_art_engine,https://github.com/HashLips/hashlips_art_engine
2021-12-28,72,275,A list of Free Software network services and web applications which can be hosted on your own servers,awesome-selfhosted,awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted
2021-12-28,43,53,Collection of publicly available IPTV channels from all over the world,iptv-org,iptv,https://github.com/iptv-org/iptv
2021-12-28,1,2,Create generative art by using the canvas api and node js,HashLips,generative-art-node,https://github.com/HashLips/generative-art-node
2021-12-28,24,469,"A simple and elegant markdown editor, available for Linux, macOS and Windows.",marktext,marktext,https://github.com/marktext/marktext
2021-12-28,117,103,JavaScript Style Guide,airbnb,javascript,https://github.com/airbnb/javascript
2021-12-28,14,31,OpenZeppelin Contracts is a library for secure smart contract development.,OpenZeppelin,openzeppelin-contracts,https://github.com/OpenZeppelin/openzeppelin-contracts
2021-12-28,27,17,,widevinedump,L3-Dumper,https://github.com/widevinedump/L3-Dumper
2021-12-28,5,4,"Web app for browsing, reading and downloading eBooks stored in a Calibre database",janeczku,calibre-web,https://github.com/janeczku/calibre-web
2021-12-28,100,2,Dump L3 CDM from any Android device,wvdumper,dumper,https://github.com/wvdumper/dumper
2021-12-28,4,6,Fourth iteration of my personal website built with Gatsby,bchiang7,v4,https://github.com/bchiang7/v4
2021-12-28,25,2,"Select2 is a jQuery based replacement for select boxes. It supports searching, remote data sets, and infinite scrolling of results.",select2,select2,https://github.com/select2/select2
2021-12-28,40,6,AdminLTE - Free admin dashboard template based on Bootstrap 4,ColorlibHQ,AdminLTE,https://github.com/ColorlibHQ/AdminLTE
2021-12-28,11,19,"Mastering Ethereum, by Andreas M. Antonopoulos, Gavin Wood",ethereumbook,ethereumbook,https://github.com/ethereumbook/ethereumbook
2021-12-28,744,20,Bitburner Game,danielyxie,bitburner,https://github.com/danielyxie/bitburner
2021-12-28,90,3,,buildspace,nft-drop-starter-project,https://github.com/buildspace/nft-drop-starter-project
2021-12-28,7,4,"Zigbee  to MQTT bridge , get rid of your proprietary Zigbee bridges",Koenkk,zigbee2mqtt,https://github.com/Koenkk/zigbee2mqtt
2021-12-28,7,13,The open-source repo for docs.github.com,github,docs,https://github.com/github/docs
