date,stargazers,starsToday,description,owner,name,url
2021-12-20,289,2,IOTA's New Wallet,iotaledger,firefly,https://github.com/iotaledger/firefly
2021-12-20,1,12,,PuruVJ,macos-web,https://github.com/PuruVJ/macos-web
2021-12-20,2,2,Svelte Material UI Components,hperrin,svelte-material-ui,https://github.com/hperrin/svelte-material-ui
2021-12-20,1,2,"A simple standalone program which automates the installation, removal and maintenance of BetterDiscord.",BetterDiscord,Installer,https://github.com/BetterDiscord/Installer
2021-12-20,1,5,"An open-source, hassle-free, self-hostable Heroku & Netlify alternative",coollabsio,coolify,https://github.com/coollabsio/coolify
2021-12-20,309,1,Svelte plugin for http://vitejs.dev/,sveltejs,vite-plugin-svelte,https://github.com/sveltejs/vite-plugin-svelte
2021-12-20,543,1,A Material UI Design Component library for Svelte heavily inspired by vuetify.,TheComputerM,svelte-materialify,https://github.com/TheComputerM/svelte-materialify
2021-12-20,54,1,PaperCSS components for Svelte,Oli8,spaper,https://github.com/Oli8/spaper
2021-12-20,733,2,Svelte  Three,Rich-Harris,svelte-cubed,https://github.com/Rich-Harris/svelte-cubed
2021-12-20,1,1,Svelte implementation of the Carbon Design System,carbon-design-system,carbon-components-svelte,https://github.com/carbon-design-system/carbon-components-svelte
2021-12-20,1,1,SvelteKit implementation of the RealWorld app,sveltejs,realworld,https://github.com/sveltejs/realworld
2021-12-20,33,2,"Commune is a communications suite built on top of matrix. Commune aims to bring together chat, discussions, email and other interactive apps into a single matrix client.",commune-org,commune,https://github.com/commune-org/commune
2021-12-20,3,0,vlack's personal site,v1ack,v1ack.github.io,https://github.com/v1ack/v1ack.github.io
2021-12-20,1,1,"Database manager for MySQL, PostgreSQL, SQL Server, MongoDB, SQLite and others. Runs under Windows, Linux, Mac or as web application",dbgate,dbgate,https://github.com/dbgate/dbgate
2021-12-20,19,1,"The source code for the ""Full Stack Web Development in the Cloud"" course.",gitpod-io,full-stack-web-development,https://github.com/gitpod-io/full-stack-web-development
2021-12-20,72,2,Monorepo for the sites in the Svelte ecosystem,sveltejs,sites,https://github.com/sveltejs/sites
