date,stargazers,starsToday,description,owner,name,url
2021-12-21,1,2,Official haskell ide support via language server (LSP). Successor of ghcide & haskell-ide-engine.,haskell,haskell-language-server,https://github.com/haskell/haskell-language-server
2021-12-21,1,8,"Dapp, Seth, Hevm, and more",dapphub,dapptools,https://github.com/dapphub/dapptools
2021-12-21,584,0,HTTP server & command-line for managing UTxOs and HD wallets in Cardano.,input-output-hk,cardano-wallet,https://github.com/input-output-hk/cardano-wallet
2021-12-21,2,0,"The core of xmonad, a small but functional ICCCM-compliant tiling window manager",xmonad,xmonad,https://github.com/xmonad/xmonad
2021-12-21,3,2,The Haskell Tool Stack,commercialhaskell,stack,https://github.com/commercialhaskell/stack
2021-12-21,1,7,Linux VR Desktop,SimulaVR,Simula,https://github.com/SimulaVR/Simula
2021-12-21,1,5,An advanced keyboard manager,kmonad,kmonad,https://github.com/kmonad/kmonad
2021-12-21,498,0,A comprehensive Amazon Web Services SDK for Haskell.,brendanhay,amazonka,https://github.com/brendanhay/amazonka
2021-12-21,6,1,"Dockerfile linter, validate inline bash, written in Haskell",hadolint,hadolint,https://github.com/hadolint/hadolint
2021-12-21,2,0,Wire back-end services,wireapp,wire-server,https://github.com/wireapp/wire-server
2021-12-21,220,0,"An efficient compact, immutable byte string type (both strict and lazy) suitable for binary or 8-bit character data.",haskell,bytestring,https://github.com/haskell/bytestring
2021-12-21,949,0,"Interactive programs without callbacks or side-effects. Functional Reactive Programming (FRP) uses composable events and time-varying values to describe interactive systems as pure functions. Just like other pure functional code, functional reactive code is easier to get right on the first try, maintain, and reuse.",reflex-frp,reflex,https://github.com/reflex-frp/reflex
2021-12-21,2,1,What I Wish I Knew When Learning Haskell,sdiehl,wiwinwlh,https://github.com/sdiehl/wiwinwlh
2021-12-21,1,1,"Lenses, Folds, and Traversals - Join us on freenode #haskell-lens",ekmett,lens,https://github.com/ekmett/lens
2021-12-21,693,0,A minimalistic status bar,jaor,xmobar,https://github.com/jaor/xmobar
2021-12-21,6,0,"Compiler for Elm, a functional language for reliable webapps.",elm,compiler,https://github.com/elm/compiler
2021-12-21,136,2,A component that follows the Cardano chain and stores blocks and transactions in PostgreSQL,input-output-hk,cardano-db-sync,https://github.com/input-output-hk/cardano-db-sync
2021-12-21,1,0,Agda is a dependently typed programming language / interactive theorem prover.,agda,agda,https://github.com/agda/agda
2021-12-21,1,1,A data-parallel functional programming language,diku-dk,futhark,https://github.com/diku-dk/futhark
2021-12-21,79,0,Proof of concept for the Hydra Head protocol,input-output-hk,hydra-poc,https://github.com/input-output-hk/hydra-poc
2021-12-21,194,0,"An implementation of the Ouroboros family of consensus algorithms, with its networking support",input-output-hk,ouroboros-network,https://github.com/input-output-hk/ouroboros-network
2021-12-21,27,8,"ShellCheck, a static analysis tool for shell scripts",koalaman,shellcheck,https://github.com/koalaman/shellcheck
2021-12-21,1,0,Research language for array processing in the Haskell/ML family,google-research,dex-lang,https://github.com/google-research/dex-lang
2021-12-21,8,1,"Cool open source projects written in C, C++, Clojure, Lisp, Elixir, Erlang, Elm, Golang, Haskell, JavaScript, Lua, OCaml, Python, R, Ruby, Rust, Scala, etc.",lk-geimfari,awesomo,https://github.com/lk-geimfari/awesomo
2021-12-21,2,3,The core component that is used to participate in a Cardano decentralised blockchain.,input-output-hk,cardano-node,https://github.com/input-output-hk/cardano-node
