date,stargazers,starsToday,description,owner,name,url
2021-12-21,2,50,A GPU-accelerated cross-platform terminal emulator and multiplexer written by @wez and implemented in Rust,wez,wezterm,https://github.com/wez/wezterm
2021-12-21,36,110,"A cross-platform, OpenGL terminal emulator.",alacritty,alacritty,https://github.com/alacritty/alacritty
2021-12-21,1,85,a debugger for async rust!,tokio-rs,console,https://github.com/tokio-rs/console
2021-12-21,281,18,Forwards media from 1 group call device to N group call devices.,signalapp,Signal-Calling-Service,https://github.com/signalapp/Signal-Calling-Service
2021-12-21,1,6,Solana Sealevel Framework,project-serum,anchor,https://github.com/project-serum/anchor
2021-12-21,1,5,A collection of Solana-maintained on-chain programs,solana-labs,solana-program-library,https://github.com/solana-labs/solana-program-library
2021-12-21,61,39,Empowering everyone to build reliable and efficient software.,rust-lang,rust,https://github.com/rust-lang/rust
2021-12-21,15,101,A modern replacement for ‘ls’.,ogham,exa,https://github.com/ogham/exa
2021-12-21,14,21,"A runtime for writing reliable asynchronous applications with Rust. Provides I/O, networking, scheduling, timers, ...",tokio-rs,tokio,https://github.com/tokio-rs/tokio
2021-12-21,6,16,The next gen ls command,Peltoche,lsd,https://github.com/Peltoche/lsd
2021-12-21,5,13,"Multi functional app to find duplicates, empty folders, similar images etc.",qarmin,czkawka,https://github.com/qarmin/czkawka
2021-12-21,9,28,Cross-platform Rust rewrite of the GNU coreutils,uutils,coreutils,https://github.com/uutils/coreutils
2021-12-21,5,11,egui: an easy-to-use immediate mode GUI in pure Rust,emilk,egui,https://github.com/emilk/egui
2021-12-21,1,7,"Learn to write Rust procedural macros  [Rust Latam conference, Montevideo Uruguay, March 2019]",dtolnay,proc-macro-workshop,https://github.com/dtolnay/proc-macro-workshop
2021-12-21,272,4,"A simple 2D platformer game in Rust, using the Gate and Collider libraries",SergiusIW,chirperjax,https://github.com/SergiusIW/chirperjax
2021-12-21,6,7,Rust parser combinator framework,Geal,nom,https://github.com/Geal/nom
2021-12-21,6,21,"Web-Scale Blockchain for fast, secure, scalable, decentralized apps and marketplaces.",solana-labs,solana,https://github.com/solana-labs/solana
2021-12-21,12,22,"A cross-platform GUI library for Rust, inspired by Elm",iced-rs,iced,https://github.com/iced-rs/iced
2021-12-21,6,10,A bunch of lints to catch common mistakes and improve your Rust code,rust-lang,rust-clippy,https://github.com/rust-lang/rust-clippy
2021-12-21,79,20,A modern runtime for JavaScript and TypeScript.,denoland,deno,https://github.com/denoland/deno
2021-12-21,8,12,The Rust Programming Language,rust-lang,book,https://github.com/rust-lang/book
2021-12-21,9,4,A Flash Player emulator written in Rust,ruffle-rs,ruffle,https://github.com/ruffle-rs/ruffle
2021-12-21,7,34,Learn to write an embedded OS in Rust,rust-embedded,rust-raspberrypi-OS-tutorials,https://github.com/rust-embedded/rust-raspberrypi-OS-tutorials
2021-12-21,19,20,"A simple, fast and user-friendly alternative to 'find'",sharkdp,fd,https://github.com/sharkdp/fd
2021-12-21,7,8,"A safe, extensible ORM and Query Builder for Rust",diesel-rs,diesel,https://github.com/diesel-rs/diesel
