date,stargazers,starsToday,description,owner,name,url
2021-12-23,7,72,The open-source repo for docs.github.com,github,docs,https://github.com/github/docs
2021-12-23,16,157,A powerful JavaScript library for interacting with the Discord API,discordjs,discord.js,https://github.com/discordjs/discord.js
2021-12-23,630,53,Bitburner Game,danielyxie,bitburner,https://github.com/danielyxie/bitburner
2021-12-23,337,47,freeCodeCamp.org's open-source codebase and curriculum. Learn to code for free.,freeCodeCamp,freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp
2021-12-23,13,57,高颜值的第三方网易云播放器，支持 Windows / macOS / Linux,qier222,YesPlayMusic,https://github.com/qier222/YesPlayMusic
2021-12-23,90,68,Promise based HTTP client for the browser and node.js,axios,axios,https://github.com/axios/axios
2021-12-23,10,6,JavaScript image cropper.,fengyuanchen,cropperjs,https://github.com/fengyuanchen/cropperjs
2021-12-23,5,5,"Create React App Configuration Override, an easy and comprehensible configuration layer for create-react-app",gsoft-inc,craco,https://github.com/gsoft-inc/craco
2021-12-23,6,12,"FFmpeg for browser and node, powered by WebAssembly",ffmpegwasm,ffmpeg.wasm,https://github.com/ffmpegwasm/ffmpeg.wasm
2021-12-23,117,59,JavaScript Style Guide,airbnb,javascript,https://github.com/airbnb/javascript
2021-12-23,1,17,This is the latest advanced react patterns workshop,kentcdodds,advanced-react-patterns,https://github.com/kentcdodds/advanced-react-patterns
2021-12-23,2,7,永久免费开源的导师评价数据、数据爬虫、无需编程基础的展示网页以及新信息补充平台,kgco,RateMySupervisor,https://github.com/kgco/RateMySupervisor
2021-12-23,1,34,Claim available free game promotions from the Epic Games Store.,Revadike,epicgames-freebies-claimer,https://github.com/Revadike/epicgames-freebies-claimer
2021-12-23,1,188,A tool for finding memory leaks in web apps,nolanlawson,fuite,https://github.com/nolanlawson/fuite
2021-12-23,7,5,"Starter files, final projects, and FAQ for my Complete JavaScript course",jonasschmedtmann,complete-javascript-course,https://github.com/jonasschmedtmann/complete-javascript-course
2021-12-23,191,47,"Vue.js is a progressive, incrementally-adoptable JavaScript framework for building UI on the web.",vuejs,vue,https://github.com/vuejs/vue
2021-12-23,37,3,"'>""><img src=x onerror=alert(1) /><b>asd</b>",msrkp,exploits,https://github.com/msrkp/exploits
2021-12-23,77,48,JavaScript 3D Library.,mrdoob,three.js,https://github.com/mrdoob/three.js
2021-12-23,10,5,A React component for building Web forms from JSON Schema.,rjsf-team,react-jsonschema-form,https://github.com/rjsf-team/react-jsonschema-form
2021-12-23,35,52,Dynamically generated stats for your github readmes,anuraghazra,github-readme-stats,https://github.com/anuraghazra/github-readme-stats
2021-12-23,15,11,Simple and complete React DOM testing utilities that encourage good testing practices.,testing-library,react-testing-library,https://github.com/testing-library/react-testing-library
2021-12-23,2,4,Various recipes for testing common scenarios with Cypress,cypress-io,cypress-example-recipes,https://github.com/cypress-io/cypress-example-recipes
2021-12-23,14,22,"Appwrite is a secure end-to-end backend server for Web, Mobile, and Flutter developers that is packaged as a set of Docker containers for easy deployment",appwrite,appwrite,https://github.com/appwrite/appwrite
2021-12-23,28,14,SheetJS Community Edition -- Spreadsheet Data Toolkit,SheetJS,sheetjs,https://github.com/SheetJS/sheetjs
2021-12-23,2,6,"Implementation examples of module federation , by the creators of module federation",module-federation,module-federation-examples,https://github.com/module-federation/module-federation-examples
