date,stargazers,starsToday,description,owner,name,url
2021-12-28,9,13,"Jekyll theme for building a personal site, blog, project documentation, or portfolio.",mmistakes,minimal-mistakes,https://github.com/mmistakes/minimal-mistakes
2021-12-28,5,7,Un blog increíble para el curso de Git y Github de Platzi,freddier,hyperblog,https://github.com/freddier/hyperblog
2021-12-28,148,1,,TheOdinProject,css-exercises,https://github.com/TheOdinProject/css-exercises
2021-12-28,3,0,Build a beautiful and simple website in literally minutes. Demo at https://beautifuljekyll.com,daattali,beautiful-jekyll,https://github.com/daattali/beautiful-jekyll
2021-12-28,4,10,Curso de HTML5 e CSS3,gustavoguanabara,html-css,https://github.com/gustavoguanabara/html-css
2021-12-28,2,6,openwrt常用软件包,kenzok8,openwrt-packages,https://github.com/kenzok8/openwrt-packages
2021-12-28,3,0,"Test suites for Web platform specs — including WHATWG, W3C, and others",web-platform-tests,wpt,https://github.com/web-platform-tests/wpt
2021-12-28,24,11,Tabler is free and open-source HTML Dashboard UI Kit built on Bootstrap,tabler,tabler,https://github.com/tabler/tabler
2021-12-28,2,2,Home Assistant User documentation,home-assistant,home-assistant.io,https://github.com/home-assistant/home-assistant.io
2021-12-28,5,3,Slam Dunk JavaScript,wesbos,beginner-javascript,https://github.com/wesbos/beginner-javascript
2021-12-28,41,4,TDesign style/utils shared by multiple frameworks repo.,Tencent,tdesign-common,https://github.com/Tencent/tdesign-common
2021-12-28,4,3,"Repository for the book ""Crafting Interpreters""",munificent,craftinginterpreters,https://github.com/munificent/craftinginterpreters
2021-12-28,12,0,,coding-boot-camp,urban-octo-telegram,https://github.com/coding-boot-camp/urban-octo-telegram
2021-12-28,10,2,This repo is for demonstration purposes only.,octocat,Spoon-Knife,https://github.com/octocat/Spoon-Knife
2021-12-28,655,3,500+ JavaScript Interview Questions,learning-zone,javascript-interview-questions,https://github.com/learning-zone/javascript-interview-questions
2021-12-28,19,13,"A rugged, minimal framework for composing JavaScript behavior in your markup.",alpinejs,alpine,https://github.com/alpinejs/alpine
2021-12-28,8,4,Zenbot is a command-line cryptocurrency trading bot using Node.js and MongoDB.,DeviaVir,zenbot,https://github.com/DeviaVir/zenbot
2021-12-28,29,10,Style guides for Google-originated open-source projects,google,styleguide,https://github.com/google/styleguide
2021-12-28,457,9,,NolanHzy,nvjdcdocker,https://github.com/NolanHzy/nvjdcdocker
2021-12-28,2,3,"A fast, clean, responsive Hugo theme.",adityatelange,hugo-PaperMod,https://github.com/adityatelange/hugo-PaperMod
2021-12-28,511,1,Powerful Tool For Grab Front Camera Snap Using A Link,kinghacker0,WishFish,https://github.com/kinghacker0/WishFish
2021-12-28,110,1,,divanov11,StudyBud,https://github.com/divanov11/StudyBud
2021-12-28,211,0,,divanov11,Django-2021,https://github.com/divanov11/Django-2021
2021-12-28,3,3,An elegant calendar and datepicker plugin for Vue.,nathanreyes,v-calendar,https://github.com/nathanreyes/v-calendar
2021-12-28,57,12,Open Source PDM to USB microphone based on the Raspberry PI RP2040.,mkvenkit,mico,https://github.com/mkvenkit/mico
