date,stargazers,starsToday,description,owner,name,url
2021-12-29,10,0,,yukifuruse1217,COVIDhealthBurden,https://github.com/yukifuruse1217/COVIDhealthBurden
2021-12-29,1,0,Machine Learning in R,mlr-org,mlr,https://github.com/mlr-org/mlr
2021-12-29,3,1,R for data science: a book,hadley,r4ds,https://github.com/hadley/r4ds
2021-12-29,3,0,A collection of interactive courses for the swirl R package.,swirldev,swirl_courses,https://github.com/swirldev/swirl_courses
2021-12-29,2,1,Dynamic Documents for R,rstudio,rmarkdown,https://github.com/rstudio/rmarkdown
2021-12-29,1,1,Rmd source files for the HarvardX series PH525x,genomicsclass,labs,https://github.com/genomicsclass/labs
2021-12-29,716,0,Repository for Programming Assignment 2 for R Programming on Coursera,rdpeng,ProgrammingAssignment2,https://github.com/rdpeng/ProgrammingAssignment2
2021-12-29,1,1,R toolkit for single cell genomics,satijalab,seurat,https://github.com/satijalab/seurat
2021-12-29,2,0,Connect mlr3 with OpenML,mlr-org,mlr3oml,https://github.com/mlr-org/mlr3oml
2021-12-29,141,0,Synthetic difference in differences,synth-inference,synthdid,https://github.com/synth-inference/synthdid
2021-12-29,300,0,R interface to many NOAA data APIs,ropensci,rnoaa,https://github.com/ropensci/rnoaa
2021-12-29,32,0,European Covid-19 Forecast Hub.,covid19-forecast-hub-europe,covid19-forecast-hub-europe,https://github.com/covid19-forecast-hub-europe/covid19-forecast-hub-europe
2021-12-29,724,0,R Interface to Keras,rstudio,keras,https://github.com/rstudio/keras
2021-12-29,1,2,Statistical Rethinking course and book package,rmcelreath,rethinking,https://github.com/rmcelreath/rethinking
2021-12-29,3,4,dplyr: A grammar of data manipulation,tidyverse,dplyr,https://github.com/tidyverse/dplyr
2021-12-29,56,0,Magic potions to clean and transform your data,easystats,datawizard,https://github.com/easystats/datawizard
2021-12-29,367,0,Survival Analysis and Visualization,kassambara,survminer,https://github.com/kassambara/survminer
2021-12-29,282,0,"R package for community ecologists: popular ordination methods, ecological null models & diversity analysis",vegandevs,vegan,https://github.com/vegandevs/vegan
2021-12-29,379,0,A fresh approach to package installation,r-lib,pak,https://github.com/r-lib/pak
2021-12-29,137,0,Format columns with colour,r-lib,pillar,https://github.com/r-lib/pillar
2021-12-29,2,1,R's data.table package extends data.frame:,Rdatatable,data.table,https://github.com/Rdatatable/data.table
