date,stargazers,starsToday,description,owner,name,url
2021-12-31,167,23,H是一款强大的资产收集管理平台,SiJiDo,H,/SiJiDo/H
2021-12-31,7194,3,The Most Complete Angular UI Component Library,primefaces,primeng,/primefaces/primeng
2021-12-31,73184,7,A cross-browser library of CSS animations. As easy to use as an easy thing.,animate-css,animate.css,/animate-css/animate.css
2021-12-31,3091,5,静态响应式网址导航网站 - webstack.cc,WebStackPage,WebStackPage.github.io,/WebStackPage/WebStackPage.github.io
2021-12-31,1738,1,,john-smilga,javascript-basic-projects,/john-smilga/javascript-basic-projects
2021-12-31,25725,6,"A collection of CSS3 powered hover effects to be applied to links, buttons, logos, SVG, featured images and so on. Easily apply to your own elements, modify or just use for inspiration. Available in CSS, Sass, and LESS.",IanLunn,Hover,/IanLunn/Hover
2021-12-31,11736,5,不止于 CSS,chokcoco,iCSS,/chokcoco/iCSS
2021-12-31,677,1,A repository for voting systems using Choice Coin.,ChoiceCoin,Voting,/ChoiceCoin/Voting
2021-12-31,2549,2,Phishing Tool & Information Collector,UndeadSec,SocialFish,/UndeadSec/SocialFish
2021-12-31,2733,1,Cnblogs theme _ Basic theme : SimpleMemory,BNDong,Cnblogs-Theme-SimpleMemory,/BNDong/Cnblogs-Theme-SimpleMemory
2021-12-31,1946,5,Next Generation Vue UI Component Library,primefaces,primevue,/primefaces/primevue
2021-12-31,3631,13,"经济学人(含音频)、纽约客、自然、新科学人、卫报、科学美国人、连线、大西洋月刊、新闻周刊、国家地理等英语杂志免费下载、订阅(kindle推送),支持epub、mobi、pdf格式, 每周更新. The Economist 、The New Yorker 、Nature、The Atlantic 、New Scientist、The Guardian、Scientific American、Wired、Newsweek magazines, free download and subscription for kindle, mobi、epub、pdf format.",hehonghui,the-economist-ebooks,/hehonghui/the-economist-ebooks
2021-12-31,1683,3,,john-smilga,react-projects,/john-smilga/react-projects
2021-12-31,2173,2,Convert modern CSS into something browsers understand,csstools,postcss-preset-env,/csstools/postcss-preset-env
2021-12-31,599,8,Master the creation of Modern UX/UI Websites,adrianhajdin,project_modern_ui_ux_gpt3,/adrianhajdin/project_modern_ui_ux_gpt3
2021-12-31,644,6,"Responsive Portfolio Website Using HTML, CSS & JavaScript",bedimcode,responsive-portfolio-website-Alexa,/bedimcode/responsive-portfolio-website-Alexa
2021-12-31,962,5,Setup A Beautiful Desktop/GUI In Termux,adi1090x,termux-desktop,/adi1090x/termux-desktop
2021-12-31,49,2,,kevin-powell,learn-grid-the-easy-way,/kevin-powell/learn-grid-the-easy-way
2021-12-31,8898,3,Custom Jupyter Notebook Themes,dunovank,jupyter-themes,/dunovank/jupyter-themes
2021-12-31,3059,3,A community-driven collection of themes for customizing Spotify through Spicetify (https://github.com/khanhas/spicetify-cli),morpheusthewhite,spicetify-themes,/morpheusthewhite/spicetify-themes
2021-12-31,10012,7,Material Dashboard - Open Source Bootstrap 5 Material Design Admin,creativetimofficial,material-dashboard,/creativetimofficial/material-dashboard
2021-12-31,4542,1,Pro Git 2nd Edition,progit,progit2,/progit/progit2
2021-12-31,372,4,A CSS style for Typora,Theigrams,My-Typora-Themes,/Theigrams/My-Typora-Themes
2021-12-31,4900,11,forkable Ethereum dev stack focused on fast product iterations,scaffold-eth,scaffold-eth,/scaffold-eth/scaffold-eth
2021-12-31,1,1,,jennythinkful,pizza,/jennythinkful/pizza
