date,stargazers,starsToday,description,owner,name,url
2021-12-31,1376,2,Blockchain explorer for Ethereum based network and a tool for inspecting and analyzing EVM based blockchains.,,,
2021-12-31,19628,3,"Elixir is a dynamic, functional language designed for building scalable and maintainable applications",,,
2021-12-31,4293,0,"Rich, real-time user experiences with server-rendered HTML",,,
2021-12-31,9579,12,"Simple, open-source, lightweight (< 1 KB) and privacy-friendly web analytics alternative to Google Analytics.",,,
2021-12-31,2164,5,A self-hosted data logger for your Tesla,,,
2021-12-31,5320,1,A toolkit for data mapping and language integrated query.,,,
2021-12-31,2324,2,Interactive and collaborative code notebooks for Elixir - made with Phoenix LiveView,,,
2021-12-31,774,1,"The core of the Membrane Framework, advanced multimedia processing framework",,,
2021-12-31,12,0,The fusion_auth library provides an Elixir API for accessing the FusionAuth Developer APIs.,,,
2021-12-31,963,0,An Elixir implementation of gRPC,,,
2021-12-31,47,1,A music sequencer on a distributed cluster. Written with Phoenix LiveView,,,
2021-12-31,513,0,Kafka client library for Elixir,,,
2021-12-31,10,0,Membrane plugin for ICE protocol,,,
2021-12-31,1635,2,Multi-dimensional arrays (tensors) and numerical definitions for Elixir,,,
2021-12-31,4310,1,Listen to your to PostgreSQL database in realtime via websockets. Built with Elixir.,,,
2021-12-31,614,1,"Elixir library to write Windows, macOS, Linux, Android apps with OTP24 & Phoenix.LiveView",,,
2021-12-31,362,1,Elixir Discord Library,,,
2021-12-31,4,0,Parser and serializer for Session Description Protocol,,,
2021-12-31,32,0,Next Generation OLI Authoring and Delivery Platform,,,
2021-12-31,574,0,A pure Elixir implementation of Google Protobuf.,,,
2021-12-31,2870,2,Simplify deployments in Elixir with OTP releases!,,,
2021-12-31,409,0,DataLoader for Elixir,,,
2021-12-31,6,0,Plugin generating manifests for HLS (DASH support planned),,,
2021-12-31,17505,0,Peace of mind from prototype to production,,,
2021-12-31,391,2,更加现代的 Policr 迷你版,,,
