date,stargazers,starsToday,description,owner,name,url
2021-12-31,467,1,,,,
2021-12-31,161,8,FS22 version of the AutoDrive mod,,,
2021-12-31,30920,8,The Cloud-Native API Gateway,,,
2021-12-31,881,23,A Neovim config designed from scratch to be understandable,,,
2021-12-31,163,1,FiveM RP Framework Core,,,
2021-12-31,1111,5,Debug Adapter Protocol client implementation for Neovim (>= 0.5),,,
2021-12-31,513,0,Navigate codes like a breeze. Exploring LSP and Treesitter symbols a piece of . Control codes like a boss .,,,
2021-12-31,2790,1,Get your data in RAM. Get compute close to data. Enjoy the performance.,,,
2021-12-31,9589,7,"An ebook reader application supporting PDF, DjVu, EPUB, FB2 and many more formats, running on Cervantes, Kindle, Kobo, PocketBook and Android devices",,,
2021-12-31,4440,11,"Find, Filter, Preview, Pick. All lua, all the time.",,,
2021-12-31,2337,0,LuaRocks is the package manager for the Lua programming language.,,,
2021-12-31,1633,4,A file explorer tree for neovim written in lua,,,
2021-12-31,78,9,"FS22. Farming Simulator 22. LS22. Landwirtschafts Simulator 22. Track assistant, differential locks, wheel drive modes and better hydraulics controls for your vehicle. Shows more vehicle details on HUD.",,,
2021-12-31,14,1,,,,
2021-12-31,39,0,Repository for otservbr-global datapack. Source code: https://github.com/opentibiabr/canary,,,
2021-12-31,260,2,Farming Simulator 2019: Smoother steering with the key board and more...,,,
2021-12-31,10,0,Admin Menu Using MenuV,,,
2021-12-31,1055,4,Orgmode clone written in Lua for Neovim 0.5+.,,,
2021-12-31,235,12,Courseplay for Farming Simulator 2022,,,
2021-12-31,56,1,Feedbacks & suggestion are very appreciated on ETHOS of FrSky,,,
2021-12-31,37,0,A collection of every roblox script ive aquired,,,
2021-12-31,8028,12,The Cloud-Native API Gateway,,,
2021-12-31,14,0,VSCode alternative that is blazing fast,,,
2021-12-31,102,0,Some,,,
2021-12-31,43,0,Open source feature configuration and issue tracker for the FiveM server HighLife Roleplay,,,
