date,stargazers,starsToday,description,owner,name,url
2021-12-31,156686,342,Learn how to design large-scale systems. Prep for the system design interview. Includes Anki flashcards.,donnemartin,system-design-primer,/donnemartin/system-design-primer
2021-12-31,21268,270,Python Fire is a library for automatically generating command line interfaces (CLIs) from absolutely any Python object.,google,python-fire,/google/python-fire
2021-12-31,7540,104,"Implementation of Vision Transformer, a simple way to achieve SOTA in vision classification with only a single transformer encoder, in Pytorch",lucidrains,vit-pytorch,/lucidrains/vit-pytorch
2021-12-31,8022,11,The easiest way to automate your data,PrefectHQ,prefect,/PrefectHQ/prefect
2021-12-31,33201,36,A list of useful payloads and bypass for Web Application Security and Pentest/CTF,swisskyrepo,PayloadsAllTheThings,/swisskyrepo/PayloadsAllTheThings
2021-12-31,172795,88,A collective list of free APIs,public-apis,public-apis,/public-apis/public-apis
2021-12-31,2618,12,Feature Store for Machine Learning,feast-dev,feast,/feast-dev/feast
2021-12-31,20407,55,YOLOv5  in PyTorch > ONNX > CoreML > TFLite,ultralytics,yolov5,/ultralytics/yolov5
2021-12-31,19495,31,"Consolidating and extending hosts files from several well-curated sources. Optionally pick extensions for porn, social media, and other categories.",StevenBlack,hosts,/StevenBlack/hosts
2021-12-31,40076,41,"FastAPI framework, high performance, easy to learn, fast to code, ready for production",tiangolo,fastapi,/tiangolo/fastapi
2021-12-31,679,13,量化交易：python3,Jack-Cherish,quantitative,/Jack-Cherish/quantitative
2021-12-31,5380,9,Electrum Bitcoin Wallet,spesmilo,electrum,/spesmilo/electrum
2021-12-31,3169,9,Community curated list of templates for the nuclei engine to find security vulnerabilities.,projectdiscovery,nuclei-templates,/projectdiscovery/nuclei-templates
2021-12-31,5692,37,"OCRmyPDF adds an OCR text layer to scanned PDF files, allowing them to be searched",ocrmypdf,OCRmyPDF,/ocrmypdf/OCRmyPDF
2021-12-31,31465,10,Deep Learning papers reading roadmap for anyone who are eager to learn this amazing tech!,floodsung,Deep-Learning-Papers-Reading-Roadmap,/floodsung/Deep-Learning-Papers-Reading-Roadmap
2021-12-31,971,28,,openai,guided-diffusion,/openai/guided-diffusion
2021-12-31,4407,11,A Python utility / library to sort imports.,PyCQA,isort,/PyCQA/isort
2021-12-31,25602,18,An interactive TLS-capable intercepting HTTP proxy for penetration testers and software developers.,mitmproxy,mitmproxy,/mitmproxy/mitmproxy
2021-12-31,3483,18,"Easy-to-use image segmentation library with awesome pre-trained model zoo, supporting wide-range of practical tasks from research to industrial applications.",PaddlePaddle,PaddleSeg,/PaddlePaddle/PaddleSeg
