date,language,stargazers,starsToday,description,owner,name,url
2022-03-02,elixir,2423,10,A self-hosted data logger for your Tesla,adriankumpf,teslamate,https://github.com/adriankumpf/teslamate
2022-03-02,elixir,1223,45,WireGuard-based VPN server and firewall,firezone,firezone,https://github.com/firezone/firezone
2022-03-02,elixir,5359,2,A toolkit for data mapping and language integrated query.,elixir-ecto,ecto,https://github.com/elixir-ecto/ecto
2022-03-02,elixir,2115,0,"Robust job processing in Elixir, backed by modern PostgreSQL",sorentwo,oban,https://github.com/sorentwo/oban
2022-03-02,elixir,19867,4,"Elixir is a dynamic, functional language designed for building scalable and maintainable applications",elixir-lang,elixir,https://github.com/elixir-lang/elixir
2022-03-02,elixir,1094,0,Writing Fast Elixir  -- Collect Common Elixir idioms.,devonestes,fast-elixir,https://github.com/devonestes/fast-elixir
2022-03-02,elixir,153,3,Phoenix Live View Components,petalframework,petal_components,https://github.com/petalframework/petal_components
2022-03-02,elixir,5,0,,bet01,bettelemetry,https://github.com/bet01/bettelemetry
2022-03-02,elixir,3892,1,The GraphQL toolkit for Elixir,absinthe-graphql,absinthe,https://github.com/absinthe-graphql/absinthe
2022-03-02,elixir,831,0,Event store using PostgreSQL for persistence,commanded,eventstore,https://github.com/commanded/eventstore
2022-03-02,elixir,223,0,AppSignal for Elixir package,appsignal,appsignal-elixir,https://github.com/appsignal/appsignal-elixir
2022-03-02,elixir,1176,0,A merge bot for GitHub Pull Requests,bors-ng,bors-ng,https://github.com/bors-ng/bors-ng
2022-03-02,elixir,3936,2,A community driven style guide for Elixir,christopheradams,elixir_style_guide,https://github.com/christopheradams/elixir_style_guide
2022-03-02,elixir,335,0,Phoenix web server for hubs.mozilla.com,mozilla,reticulum,https://github.com/mozilla/reticulum
2022-03-02,elixir,849,1,"A frontend-independent IDE ""smartness"" server for Elixir. Implements the ""Language Server Protocol"" standard and provides debugger support via the ""Debug Adapter Protocol""",elixir-lsp,elixir-ls,https://github.com/elixir-lsp/elixir-ls
2022-03-02,elixir,10363,8,"Simple, open-source, lightweight (< 1 KB) and privacy-friendly web analytics alternative to Google Analytics.",plausible,analytics,https://github.com/plausible/analytics
2022-03-02,elixir,198,3,Formatter for Phoenix Live View templates.,feliperenan,heex_formatter,https://github.com/feliperenan/heex_formatter
2022-03-02,elixir,723,0,(soft-deprecated) HTTP client for Elixir (use Tesla please),unrelentingtech,httpotion,https://github.com/unrelentingtech/httpotion
2022-03-02,elixir,4224,2,A static code analysis tool for the Elixir language with a focus on code consistency and teaching.,rrrene,credo,https://github.com/rrrene/credo
2022-03-02,elixir,11183,0,"A curated list of amazingly awesome Elixir and Erlang libraries, resources and shiny things. Updates:",h4cc,awesome-elixir,https://github.com/h4cc/awesome-elixir
2022-03-02,elixir,4425,3,"Rich, real-time user experiences with server-rendered HTML",phoenixframework,phoenix_live_view,https://github.com/phoenixframework/phoenix_live_view
2022-03-02,elixir,1321,0,Job processing library for Elixir - compatible with Resque / Sidekiq,akira,exq,https://github.com/akira/exq
2022-03-02,elixir,811,0,Package manager for the Erlang VM,hexpm,hex,https://github.com/hexpm/hex
2022-03-02,elixir,18,0,OpenTelemetry instrumentation for Erlang & Elixir,open-telemetry,opentelemetry-erlang-contrib,https://github.com/open-telemetry/opentelemetry-erlang-contrib
2022-03-02,elixir,53,0,Inline SVG module for Phoenix Framework,nikkomiu,phoenix_inline_svg,https://github.com/nikkomiu/phoenix_inline_svg
