date,language,stargazers,starsToday,description,owner,name,url
2022-05-30,scala,53,0,Implement CSV validation following the W3C's CSV on the Web standard.,kah109xq,GSS-Cogss,https://github.com/kah109xq/GSS-Cogss
2022-05-30,scala,3366,3,"ZIO — A type-safe, composable library for async and concurrent programming in Scala",zio,zio,https://github.com/zio/zio
2022-05-30,scala,2313,0,"A V2Ray, Trojan, ShadowsocksR client for Android",xxf098,shadowsocksr-v2ray-trojan-android,https://github.com/xxf098/shadowsocksr-v2ray-trojan-android
2022-05-30,scala,7,0,Macro description format,ucb-bar,plsi-mdf,https://github.com/ucb-bar/plsi-mdf
2022-05-30,scala,2549,1,Chisel 3: A Modern Hardware Design Language,chipsalliance,chisel3,https://github.com/chipsalliance/chisel3
2022-05-30,scala,529,0,Flexible Intermediate Representation for RTL,chipsalliance,firrtl,https://github.com/chipsalliance/firrtl
2022-05-30,scala,550,0,"FireSim: Easy-to-use, Scalable, FPGA-accelerated Cycle-accurate Hardware Simulation in the Cloud",firesim,firesim,https://github.com/firesim/firesim
2022-05-30,scala,754,0,A Thrift parser/generator,twitter,scrooge,https://github.com/twitter/scrooge
2022-05-30,scala,1342,0,Twitter-Server defines a template from which services at Twitter are built,twitter,twitter-server,https://github.com/twitter/twitter-server
2022-05-30,scala,2529,0,Wonderful reusable code from Twitter,twitter,util,https://github.com/twitter/util
2022-05-30,scala,50,0,,ucb-bar,testchipip,https://github.com/ucb-bar/testchipip
2022-05-30,scala,178,0,,ucb-bar,berkeley-hardfloat,https://github.com/ucb-bar/berkeley-hardfloat
2022-05-30,scala,4967,1,"The Scala 3 compiler, also known as Dotty.",lampepfl,dotty,https://github.com/lampepfl/dotty
2022-05-30,scala,8259,0,"A fault tolerant, protocol-agnostic RPC system",twitter,finagle,https://github.com/twitter/finagle
2022-05-30,scala,11529,0,"♞ lichess.org: the forever free, adless and open source chess server ♞",lichess-org,lila,https://github.com/lichess-org/lila
2022-05-30,scala,12227,0,"Build highly concurrent, distributed, and resilient message-driven applications on the JVM",akka,akka,https://github.com/akka/akka
2022-05-30,scala,76,0,"Compositional, type-safe schema definitions, which enable auto-derivation of codecs and migrations.",zio,zio-schema,https://github.com/zio/zio-schema
2022-05-30,scala,27,0,workbench identity and access management,broadinstitute,sam,https://github.com/broadinstitute/sam
2022-05-30,scala,7,0,Tools for integrating DspTools components into a rocket-chip,ucb-bar,rocket-dsp-utils,https://github.com/ucb-bar/rocket-dsp-utils
2022-05-30,scala,30,0,Notebook service,DataBiosphere,leonardo,https://github.com/DataBiosphere/leonardo
2022-05-30,scala,3,0,,ucb-bar,FFTGenerator,https://github.com/ucb-bar/FFTGenerator
2022-05-30,scala,2158,0,"Fast, testable, Scala services built on TwitterServer and Finagle",twitter,finatra,https://github.com/twitter/finatra
2022-05-30,scala,25,0,Useful utilities for BAR projects,ucb-bar,barstools,https://github.com/ucb-bar/barstools
2022-05-30,scala,1070,0,"Apache Kyuubi is a distributed multi-tenant JDBC server for large-scale data processing and analytics, built on top of Apache Spark",apache,incubator-kyuubi,https://github.com/apache/incubator-kyuubi
2022-05-30,scala,2238,0,Rocket Chip Generator,chipsalliance,rocket-chip,https://github.com/chipsalliance/rocket-chip
