date,language,stargazers,starsToday,description,owner,name,url
2022-08-19,typescript,36909,102,The open source Firebase alternative. Follow to stay updated about our public Beta.,supabase,supabase,https://github.com/supabase/supabase
2022-08-19,typescript,700,30,极致的微前端框架,Tencent,wujie,https://github.com/Tencent/wujie
2022-08-19,typescript,146,23,,codeedu,imersao9,https://github.com/codeedu/imersao9
2022-08-19,typescript,8857,4,A declarative JavaScript library for application development using cloud services.,aws-amplify,amplify-js,https://github.com/aws-amplify/amplify-js
2022-08-19,typescript,4027,41,High-performance React Native Graphics using Skia,Shopify,react-native-skia,https://github.com/Shopify/react-native-skia
2022-08-19,typescript,81492,28,An enterprise-class UI design language and React UI library,ant-design,ant-design,https://github.com/ant-design/ant-design
2022-08-19,typescript,3051,2,Tasks for Azure Pipelines,microsoft,azure-pipelines-tasks,https://github.com/microsoft/azure-pipelines-tasks
2022-08-19,typescript,41233,12,Babel is a compiler for writing next generation JavaScript.,babel,babel,https://github.com/babel/babel
2022-08-19,typescript,1649,224,A blazingly fast router for static sites,fireship-io,flamethrower,https://github.com/fireship-io/flamethrower
2022-08-19,typescript,4054,17,A way to manage your versioning and changelogs with a focus on monorepos,changesets,changesets,https://github.com/changesets/changesets
2022-08-19,typescript,61577,39,Cybernetically enhanced web apps,sveltejs,svelte,https://github.com/sveltejs/svelte
2022-08-19,typescript,12254,18,"Lit is a simple library for building fast, lightweight web components.",lit,lit,https://github.com/lit/lit
2022-08-19,typescript,11706,10,前端低代码框架，通过 JSON 配置就能生成各种页面。,baidu,amis,https://github.com/baidu/amis
2022-08-19,typescript,50502,27,"The open and composable observability and data visualization platform. Visualize metrics, logs, and traces from multiple sources like Prometheus, Loki, Elasticsearch, InfluxDB, Postgres and many more.",grafana,grafana,https://github.com/grafana/grafana
2022-08-19,typescript,13834,11,"Fluent UI web represents a collection of utilities, React components, and web components for building web applications.",microsoft,fluentui,https://github.com/microsoft/fluentui
2022-08-19,typescript,206984,244,Roadmap to becoming a developer in 2022,kamranahmedse,developer-roadmap,https://github.com/kamranahmedse/developer-roadmap
2022-08-19,typescript,6993,11,"A collection of libraries and tools that help you build adaptive, accessible, and robust user experiences.",adobe,react-spectrum,https://github.com/adobe/react-spectrum
2022-08-19,typescript,3678,6,JavaScript diagramming library that uses SVG and HTML for rendering.,antvis,X6,https://github.com/antvis/X6
2022-08-19,typescript,7837,6,"Build cross-platform Native Progressive Web Apps for iOS, Android, and the Web",ionic-team,capacitor,https://github.com/ionic-team/capacitor
2022-08-19,typescript,6550,24,"Free and Open-source Headless CMS and Application Framework built with TypeScript, Node.js, React and MongoDB",payloadcms,payload,https://github.com/payloadcms/payload
2022-08-19,typescript,6671,34,"SiYuan is a local-first personal knowledge management system, supports fine-grained block-level reference, and Markdown WYSIWYG. 思源笔记是一款本地优先的个人知识管理系统， 支持细粒度块级引用和 Markdown 所见即所得。Roadmap https://github.com/orgs/siyuan-note/projects/1",siyuan-note,siyuan,https://github.com/siyuan-note/siyuan
2022-08-19,typescript,9032,9,The best JavaScript Data Table for building Enterprise Applications. Supports React / Angular / Vue / Plain JavaScript.,ag-grid,ag-grid,https://github.com/ag-grid/ag-grid
2022-08-19,typescript,47812,8,"A powerful cross-platform UI toolkit for building native-quality iOS, Android, and Progressive Web Apps with HTML, CSS, and JavaScript.",ionic-team,ionic-framework,https://github.com/ionic-team/ionic-framework
2022-08-19,typescript,20054,12,Lightweight Mobile UI Components built on Vue,vant-ui,vant,https://github.com/vant-ui/vant
2022-08-19,typescript,1678,2,The source for REST API specifications for Microsoft Azure.,Azure,azure-rest-api-specs,https://github.com/Azure/azure-rest-api-specs
