date,language,stargazers,starsToday,description,owner,name,url
2022-08-27,python,1606,595,给别人家的女朋友发早安,rxrw,daily_morning,https://github.com/rxrw/daily_morning
2022-08-27,python,1683,198,"A Code Release for Mip-NeRF 360, Ref-NeRF, and RawNeRF",google-research,multinerf,https://github.com/google-research/multinerf
2022-08-27,python,149,54,微信公众号全自动每日推送,limoest,daily_reminder,https://github.com/limoest/daily_reminder
2022-08-27,python,905,136,OSINT automation for hackers.,blacklanternsecurity,bbot,https://github.com/blacklanternsecurity/bbot
2022-08-27,python,30222,70,the only cheat sheet you need,chubin,cheat.sh,https://github.com/chubin/cheat.sh
2022-08-27,python,261,5,,NafisiAslH,KnowledgeSharing,https://github.com/NafisiAslH/KnowledgeSharing
2022-08-27,python,491,97,"An unconventional Windows reverse shell, currently undetected by Microsoft Defender and various other AV solutions, solely based on http(s) traffic.",t3l3machus,hoaxshell,https://github.com/t3l3machus/hoaxshell
2022-08-27,python,38,8,微信公众号天气预报推送,wyz8883,morning,https://github.com/wyz8883/morning
2022-08-27,python,28815,134,"Linux, Jenkins, AWS, SRE, Prometheus, Docker, Python, Ansible, Git, Kubernetes, Terraform, OpenStack, SQL, NoSQL, Azure, GCP, DNS, Elastic, Network, Virtualization. DevOps Interview Questions",bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises
2022-08-27,python,89,14,TVBoxOSC 服务端爬虫 Custom Server Spider for Tv Written in Python3,sec-an,TV_Spider,https://github.com/sec-an/TV_Spider
2022-08-27,python,1242,36,This repository contains free labs for setting up an entire workflow and DevOps environment from a real-world perspective in AWS,AdminTurnedDevOps,DevOps-The-Hard-Way-AWS,https://github.com/AdminTurnedDevOps/DevOps-The-Hard-Way-AWS
2022-08-27,python,839,3,Demisto is now Cortex XSOAR. Automate and orchestrate your Security Operations with Cortex XSOAR's ever-growing Content Repository. Pull Requests are always welcome and highly appreciated!,demisto,content,https://github.com/demisto/content
2022-08-27,python,54292,27,"Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and maintain. Automate everything from code deployment to network configuration to cloud management, in a language that approaches plain English, using SSH, with no agents to install on remote systems. https://docs.ansible.com.",ansible,ansible,https://github.com/ansible/ansible
2022-08-27,python,35675,18,openpilot is an open source driver assistance system. openpilot performs the functions of Automated Lane Centering and Adaptive Cruise Control for over 200 supported car makes and models.,commaai,openpilot,https://github.com/commaai/openpilot
2022-08-27,python,1000,23,Towhee is a framework that is dedicated to making neural data processing pipelines simple and fast.,towhee-io,towhee,https://github.com/towhee-io/towhee
2022-08-27,python,19830,18,"The most intuitive, flexible, way to build PyTorch models and lightning apps that glue together everything around the models, without the pain of infrastructure, cost management, scaling and everything else.",Lightning-AI,lightning,https://github.com/Lightning-AI/lightning
2022-08-27,python,430,9,A Python-level JIT compiler designed to make unmodified PyTorch programs faster.,pytorch,torchdynamo,https://github.com/pytorch/torchdynamo
2022-08-27,python,1553,4,A procedural Blender pipeline for photorealistic training image generation,DLR-RM,BlenderProc,https://github.com/DLR-RM/BlenderProc
2022-08-27,python,22033,12,"Detectron2 is a platform for object detection, segmentation and other visual recognition tasks.",facebookresearch,detectron2,https://github.com/facebookresearch/detectron2
2022-08-27,python,1099,7,"[ECCV 2022] This is the official implementation of BEVFormer, a camera-only framework for autonomous driving perception, e.g., 3D object detection and semantic map segmentation.",zhiqi-li,BEVFormer,https://github.com/zhiqi-li/BEVFormer
2022-08-27,python,13152,42,Textual is a TUI (Text User Interface) framework for Python inspired by modern web development.,Textualize,textual,https://github.com/Textualize/textual
2022-08-27,python,12487,15,State-of-the-art 2D and 3D Face Analysis Project,deepinsight,insightface,https://github.com/deepinsight/insightface
2022-08-27,python,3684,7,"Open Source Image and Video Restoration Toolbox for Super-resolution, Denoise, Deblurring, etc. Currently, it includes EDSR, RCAN, SRResNet, SRGAN, ESRGAN, EDVR, BasicVSR, SwinIR, ECBSR, etc. Also support StyleGAN2, DFDNet.",XPixelGroup,BasicSR,https://github.com/XPixelGroup/BasicSR
2022-08-27,python,5927,10,Build and manage real-life data science projects with ease!,Netflix,metaflow,https://github.com/Netflix/metaflow
2022-08-27,python,9517,11,Impacket is a collection of Python classes for working with network protocols.,SecureAuthCorp,impacket,https://github.com/SecureAuthCorp/impacket
