date,language,stargazers,starsToday,description,owner,name,url
2023-01-30,r,260,1,"Excerpt from the Gapminder data, as an R data package and in plain text delimited form",jennybc,gapminder,https://github.com/jennybc/gapminder
2023-01-30,r,256,3,"GPT RStudio addins that enable GPT assisted coding, writing & analysis",MichelNivard,gptstudio,https://github.com/MichelNivard/gptstudio
2023-01-30,r,778,0,Repository for Programming Assignment 2 for R Programming on Coursera,rdpeng,ProgrammingAssignment2,https://github.com/rdpeng/ProgrammingAssignment2
2023-01-30,r,371,1,Equipment Loss Tracking,leedrake5,Russia-Ukraine,https://github.com/leedrake5/Russia-Ukraine
2023-01-30,r,36,0,,rjake,headliner,https://github.com/rjake/headliner
2023-01-30,r,67,0,This repository contains the R code used to produce my visualisations for the #TidyTuesday challenges.,nrennie,tidytuesday,https://github.com/nrennie/tidytuesday
2023-01-30,r,4011,0,A collection of interactive courses for the swirl R package.,swirldev,swirl_courses,https://github.com/swirldev/swirl_courses
2023-01-30,r,146,0,My awesome profile README,Raymo111,Raymo111,https://github.com/Raymo111/Raymo111
2023-01-30,r,3968,1,Statistical Rethinking course winter 2022,rmcelreath,stat_rethinking_2022,https://github.com/rmcelreath/stat_rethinking_2022
2023-01-30,r,702,1,Fast Lane to Learning R!,matloff,fasteR,https://github.com/matloff/fasteR
2023-01-30,r,221,0,Microsoft's Fluent UI for Shiny apps,Appsilon,shiny.fluent,https://github.com/Appsilon/shiny.fluent
2023-01-30,r,2313,0,An interactive graphing library for R,plotly,plotly.R,https://github.com/plotly/plotly.R
2023-01-30,r,128,1,Introduction to R by Jonathan Cornelissen,datacamp,courses-introduction-to-r,https://github.com/datacamp/courses-introduction-to-r
2023-01-30,r,93,0,"Data visualizations produced for #TidyTuesdayChallenge, a challenge hosted by R for Data Science.",tashapiro,TidyTuesday,https://github.com/tashapiro/TidyTuesday
2023-01-30,r,5757,2,An implementation of the Grammar of Graphics in R,tidyverse,ggplot2,https://github.com/tidyverse/ggplot2
2023-01-30,r,1778,2,R Package for 2D and 3D mapping and data visualization,tylermorganwall,rayshader,https://github.com/tylermorganwall/rayshader
2023-01-30,r,15,0,Visualize walmart store openings,cjbayesian,walmart,https://github.com/cjbayesian/walmart
2023-01-30,r,386,0,Interactive dashboard for real-time recording of COVID-19 outbreak in Japan,swsoyee,2019-ncov-japan,https://github.com/swsoyee/2019-ncov-japan
2023-01-30,r,2921,3,A curated list of awesome network analysis resources.,briatte,awesome-network-analysis,https://github.com/briatte/awesome-network-analysis
2023-01-30,r,8,0,DAISIE,rsetienne,DAISIE,https://github.com/rsetienne/DAISIE
2023-01-30,r,3,0,The Discover Distributions Module,jasp-stats,jaspDistributions,https://github.com/jasp-stats/jaspDistributions
2023-01-30,r,4,0,The Reliability Module,jasp-stats,jaspReliability,https://github.com/jasp-stats/jaspReliability
2023-01-30,r,1741,0,Rmd source files for the HarvardX series PH525x,genomicsclass,labs,https://github.com/genomicsclass/labs
2023-01-30,r,4900,1,Easy interactive web applications with R,rstudio,shiny,https://github.com/rstudio/shiny
2023-01-30,r,13,0,,Pecners,kontur_rayshader_tutorial,https://github.com/Pecners/kontur_rayshader_tutorial
