date,language,stargazers,starsToday,description,owner,name,url
2023-03-10,haskell,2602,25,SimpleX - the first messaging platform operating without user identifiers of any kind - 100% private by design! iOS and Android apps are released !,simplex-chat,simplex-chat,https://github.com/simplex-chat/simplex-chat
2023-03-10,haskell,31617,7,"ShellCheck, a static analysis tool for shell scripts",koalaman,shellcheck,https://github.com/koalaman/shellcheck
2023-03-10,haskell,20164,6,REST API for any Postgres database,PostgREST,postgrest,https://github.com/PostgREST/postgrest
2023-03-10,haskell,51,4,The Lumi Programming Language,AAsteria,Lumi,https://github.com/AAsteria/Lumi
2023-03-10,haskell,28161,11,Universal markup converter,jgm,pandoc,https://github.com/jgm/pandoc
2023-03-10,haskell,2896,1,The core component that is used to participate in a Cardano decentralised blockchain.,input-output-hk,cardano-node,https://github.com/input-output-hk/cardano-node
2023-03-10,haskell,291,0,The Plutus application platform,input-output-hk,plutus-apps,https://github.com/input-output-hk/plutus-apps
2023-03-10,haskell,2337,1,The fastest way to develop full-stack web apps with React & Node.js.,wasp-lang,wasp,https://github.com/wasp-lang/wasp
2023-03-10,haskell,8047,2,A strongly-typed language that compiles to JavaScript,purescript,purescript,https://github.com/purescript/purescript
2023-03-10,haskell,0,0,,henrikssn,parser,https://github.com/henrikssn/parser
2023-03-10,haskell,27,0,A programming language that deduces code from tests,luqui,Djest,https://github.com/luqui/Djest
2023-03-10,haskell,1479,1,Tunneling over websocket protocol - Static binary available,erebe,wstunnel,https://github.com/erebe/wstunnel
2023-03-10,haskell,5,0,This is scrive's common collection of function import we use the most.,scrive,scrive-prelude,https://github.com/scrive/scrive-prelude
2023-03-10,haskell,1,0,Wolfram’s elementary cellular automaton.,AntoinePoisson,Haskell-Wolfram,https://github.com/AntoinePoisson/Haskell-Wolfram
2023-03-10,haskell,5100,3,A friendly programming language from the future,unisonweb,unison,https://github.com/unisonweb/unison
2023-03-10,haskell,406,1,A collection of my config files.,NeuralNine,config-files,https://github.com/NeuralNine/config-files
2023-03-10,haskell,0,0,MTP Filesystem based on FUSE and libmtp,psii,hmtpfs,https://github.com/psii/hmtpfs
2023-03-10,haskell,3887,1,The fastest way to build type safe web apps. IHP is a new batteries-included web framework optimized for longterm productivity and programmer happiness,digitallyinduced,ihp,https://github.com/digitallyinduced/ihp
2023-03-10,haskell,189,1,Implementation of the Hydra Head protocol,input-output-hk,hydra,https://github.com/input-output-hk/hydra
2023-03-10,haskell,7135,0,"Compiler for Elm, a functional language for reliable webapps.",elm,compiler,https://github.com/elm/compiler
2023-03-10,haskell,1463,0,Official upstream development repository for Cabal and cabal-install,haskell,cabal,https://github.com/haskell/cabal
2023-03-10,haskell,11,0,,digital-asset,daml-finance,https://github.com/digital-asset/daml-finance
2023-03-10,haskell,3,0,Integrations with Vinyl/Frames records (core library).,composite-hs,composite-base,https://github.com/composite-hs/composite-base
2023-03-10,haskell,552,1,A comprehensive Amazon Web Services SDK for Haskell.,brendanhay,amazonka,https://github.com/brendanhay/amazonka
2023-03-10,haskell,5,0,Integrations with Vinyl/Frames records.,composite-hs,composite,https://github.com/composite-hs/composite
