date,language,stargazers,starsToday,description,owner,name,url
2023-08-31,rust,602,362,The Parity Polkadot Blockchain SDK,paritytech,polkadot-sdk,https://github.com/paritytech/polkadot-sdk
2023-08-31,rust,27370,174,Lightning-fast and Powerful Code Editor written in Rust,lapce,lapce,https://github.com/lapce/lapce
2023-08-31,rust,18980,93,This is the Rust course used by the Android team at Google. It provides you the material to quickly teach Rust.,google,comprehensive-rust,https://github.com/google/comprehensive-rust
2023-08-31,rust,7394,18,Yet another cross-platform graphical process/system monitor.,ClementTsang,bottom,https://github.com/ClementTsang/bottom
2023-08-31,rust,18001,32,🤱🏻 Turn any webpage into a desktop app with Rust. 🤱🏻 利用 Rust 轻松构建轻量级多端桌面应用,tw93,Pake,https://github.com/tw93/Pake
2023-08-31,rust,13540,25,A terminal workspace with batteries included,zellij-org,zellij,https://github.com/zellij-org/zellij
2023-08-31,rust,33,5,"All the ""greatness"" of proof of work, now in smart contract form",aiken-lang,fortuna,https://github.com/aiken-lang/fortuna
2023-08-31,rust,3056,26,Rust library that's all about cooking up terminal user interfaces (TUIs),ratatui-org,ratatui,https://github.com/ratatui-org/ratatui
2023-08-31,rust,626,14,A native Rust UI library with fine-grained reactivity,lapce,floem,https://github.com/lapce/floem
2023-08-31,rust,14264,9,A high-performance observability data pipeline.,vectordotdev,vector,https://github.com/vectordotdev/vector
2023-08-31,rust,38539,20,"A lightning-fast search engine that fits effortlessly into your apps, websites, and workflow.",meilisearch,meilisearch,https://github.com/meilisearch/meilisearch
2023-08-31,rust,40621,40,"🔮 ChatGPT Desktop Application (Mac, Windows and Linux)",lencx,ChatGPT,https://github.com/lencx/ChatGPT
2023-08-31,rust,18409,15,"Actix Web is a powerful, pragmatic, and extremely fast web framework for Rust.",actix,actix-web,https://github.com/actix/actix-web
2023-08-31,rust,20703,176,Rust full node implementation of the Fuel v2 protocol.,FuelLabs,fuel-core,https://github.com/FuelLabs/fuel-core
2023-08-31,rust,80,8,,viniciusfonseca,rinha-backend-rust,https://github.com/viniciusfonseca/rinha-backend-rust
2023-08-31,rust,10474,16,The next gen ls command,lsd-rs,lsd,https://github.com/lsd-rs/lsd
2023-08-31,rust,6319,45,"🚀 10x easier, 🚀 140x lower storage cost, 🚀 high performance, 🚀 petabyte scale - Elasticsearch/Splunk/Datadog alternative for 🚀 (logs, metrics, traces).",openobserve,openobserve,https://github.com/openobserve/openobserve
2023-08-31,rust,13781,137,Fuel Network Rust SDK,FuelLabs,fuels-rs,https://github.com/FuelLabs/fuels-rs
2023-08-31,rust,16239,9,egui: an easy-to-use immediate mode GUI in Rust that runs on both web and native,emilk,egui,https://github.com/emilk/egui
2023-08-31,rust,377,5,an educational compiler intermediate representation,sampsyo,bril,https://github.com/sampsyo/bril
2023-08-31,rust,2975,3,"A Virtual Machine Monitor for modern Cloud workloads. Features include CPU, memory and device hotplug, support for running Windows and Linux guests, device offload with vhost-user and a minimal compact footprint. Written in Rust with a strong focus on security.",cloud-hypervisor,cloud-hypervisor,https://github.com/cloud-hypervisor/cloud-hypervisor
2023-08-31,rust,1714,57,⚓ A suite of high-performance tools for JavaScript and TypeScript written in Rust.,web-infra-dev,oxc,https://github.com/web-infra-dev/oxc
2023-08-31,rust,1112,26,A tiny JVM written in Rust. Learning project,andreabergia,rjvm,https://github.com/andreabergia/rjvm
2023-08-31,rust,776,10,zkSync era,matter-labs,zksync-era,https://github.com/matter-labs/zksync-era
2023-08-31,rust,5202,5,"Sui, a next-generation smart contract platform with high throughput, low latency, and an asset-oriented programming model powered by the Move programming language",MystenLabs,sui,https://github.com/MystenLabs/sui
