date,language,stargazers,starsToday,description,owner,name,url
2023-11-15,javascript,47086,21,Prettier is an opinionated code formatter.,prettier,prettier,https://github.com/prettier/prettier
2023-11-15,javascript,73767,109,Cybernetically enhanced web apps,sveltejs,svelte,https://github.com/sveltejs/svelte
2023-11-15,javascript,258,18,A video series on chai aur code youtube channel,hiteshchoudhary,chai-backend,https://github.com/hiteshchoudhary/chai-backend
2023-11-15,javascript,13272,5,WebRTC Web demos and samples,webrtc,samples,https://github.com/webrtc/samples
2023-11-15,javascript,70522,65,Collection of publicly available IPTV channels from all over the world,iptv-org,iptv,https://github.com/iptv-org/iptv
2023-11-15,javascript,157,19,"Let's build a cool 3D website together! You'll learn how to make a portfolio with fun interactive parts, like a floating island and a fox that moves when you type. It'll allow you to show off your skills and get a job!",adrianhajdin,3D_portfolio,https://github.com/adrianhajdin/3D_portfolio
2023-11-15,javascript,139228,35,JavaScript Style Guide,airbnb,javascript,https://github.com/airbnb/javascript
2023-11-15,javascript,6026,15,Entire React code base explanation by visual block schemes (Stack version),Bogdan-Lyashenko,Under-the-hood-ReactJS,https://github.com/Bogdan-Lyashenko/Under-the-hood-ReactJS
2023-11-15,javascript,40600,45,A fancy self-hosted monitoring tool,louislam,uptime-kuma,https://github.com/louislam/uptime-kuma
2023-11-15,javascript,45202,10,"Fast, easy and reliable testing for anything that runs in a browser.",cypress-io,cypress,https://github.com/cypress-io/cypress
2023-11-15,javascript,86701,18,🛁 Clean Code concepts adapted for JavaScript,ryanmcdermott,clean-code-javascript,https://github.com/ryanmcdermott/clean-code-javascript
2023-11-15,javascript,7442,7,"Connect APIs, remarkably fast. Free for developers.",PipedreamHQ,pipedream,https://github.com/PipedreamHQ/pipedream
2023-11-15,javascript,15987,5,"Lexical is an extensible text editor framework that provides excellent reliability, accessibility and performance.",facebook,lexical,https://github.com/facebook/lexical
2023-11-15,javascript,1078,3,Modern React Portfolio Template (FREE),chetanverma16,react-portfolio-template,https://github.com/chetanverma16/react-portfolio-template
2023-11-15,javascript,7600,18,🔥 A collection of beautiful and (hopefully) useful React hooks to speed-up your components and hooks development 🔥,antonioru,beautiful-react-hooks,https://github.com/antonioru/beautiful-react-hooks
2023-11-15,javascript,22250,6,Javascript audio library for the modern web.,goldfire,howler.js,https://github.com/goldfire/howler.js
2023-11-15,javascript,22460,1,HTML5 FLV Player,bilibili,flv.js,https://github.com/bilibili/flv.js
2023-11-15,javascript,17607,9,Low-code programming for event-driven applications,node-red,node-red,https://github.com/node-red/node-red
2023-11-15,javascript,2617,6,"Starter files, final projects and FAQ for my Complete Node.js Bootcamp",jonasschmedtmann,complete-node-bootcamp,https://github.com/jonasschmedtmann/complete-node-bootcamp
2023-11-15,javascript,1867,2,Minimal Dashboard - build with React Material UI components.,minimal-ui-kit,material-kit-react,https://github.com/minimal-ui-kit/material-kit-react
2023-11-15,javascript,492,3,Hermit-md - Simple whatsapp Multi Device bot based on @adiwajshing/baileys,A-d-i-t-h-y-a-n,hermit-md,https://github.com/A-d-i-t-h-y-a-n/hermit-md
2023-11-15,javascript,10394,2,"Interactive, thoroughly customizable maps in the browser, powered by vector tiles and WebGL",mapbox,mapbox-gl-js,https://github.com/mapbox/mapbox-gl-js
2023-11-15,javascript,4055,4,Graphical User Interface for creating and running Scratch 3.0 projects.,scratchfoundation,scratch-gui,https://github.com/scratchfoundation/scratch-gui
2023-11-15,javascript,27739,7,Reorderable drag-and-drop lists for modern browsers and touch devices. No jQuery or framework required.,SortableJS,Sortable,https://github.com/SortableJS/Sortable
