date,language,stargazers,starsToday,description,owner,name,url
2023-11-30,php,8923,105,A PHP client library for accessing Google APIs,googleapis,google-api-php-client,https://github.com/googleapis/google-api-php-client
2023-11-30,php,30566,8,The Laravel Framework.,laravel,framework,https://github.com/laravel/framework
2023-11-30,php,9758,16,An open-source & self-hostable Heroku / Netlify / Vercel alternative. Cloud version available here -> https://app.coolify.io,coollabsio,coolify,https://github.com/coollabsio/coolify
2023-11-30,php,18231,6,"WordPress, Git-ified. This repository is just a mirror of the WordPress subversion repository. Please do not send pull requests. Submit pull requests to https://github.com/WordPress/wordpress-develop and patches to https://core.trac.wordpress.org/ instead.",WordPress,WordPress,https://github.com/WordPress/WordPress
2023-11-30,php,10877,31,"A collection of beautiful full-stack components for Laravel. The perfect starting point for your next app. Using Livewire, Alpine.js and Tailwind CSS.",filamentphp,filament,https://github.com/filamentphp/filament
2023-11-30,php,289,2,PHPStan's source code. This is where development happens. Check https://github.com/phpstan/phpstan for the distribution repository.,phpstan,phpstan-src,https://github.com/phpstan/phpstan-src
2023-11-30,php,3486,2,"GLPI is a Free Asset and IT Management Software package, Data center management, ITIL Service Desk, licenses tracking and software auditing.",glpi-project,glpi,https://github.com/glpi-project/glpi
2023-11-30,php,22792,1,"Guzzle, an extensible PHP HTTP client",guzzle,guzzle,https://github.com/guzzle/guzzle
2023-11-30,php,6936,2,A pure PHP library for reading and writing word processing documents,PHPOffice,PHPWord,https://github.com/PHPOffice/PHPWord
2023-11-30,php,4917,3,⚗️ Adds code analysis to Laravel improving developer productivity and code quality.,nunomaduro,larastan,https://github.com/nunomaduro/larastan
2023-11-30,php,12285,3,PHP Static Analysis Tool - discover bugs in your code without running it!,phpstan,phpstan,https://github.com/phpstan/phpstan
2023-11-30,php,1101,16,Kirby's core application folder,getkirby,kirby,https://github.com/getkirby/kirby
2023-11-30,php,6793,1,Which is the fastest web framework?,the-benchmarker,web-frameworks,https://github.com/the-benchmarker/web-frameworks
2023-11-30,php,2131,0,"WordPress Develop, Git-ified. Synced from git://develop.git.wordpress.org/, including branches and tags! This repository is just a mirror of the WordPress subversion repository. Please include a link to a pre-existing ticket on https://core.trac.wordpress.org/ with every pull request.",WordPress,wordpress-develop,https://github.com/WordPress/wordpress-develop
2023-11-30,php,27961,5,Dependency Manager for PHP,composer,composer,https://github.com/composer/composer
2023-11-30,php,5168,3,PHP Secure Communications Library,phpseclib,phpseclib,https://github.com/phpseclib/phpseclib
2023-11-30,php,4527,0,"Convert HTML to an image, PDF or string",spatie,browsershot,https://github.com/spatie/browsershot
2023-11-30,php,3659,1,Easy AdminLTE integration with Laravel,jeroennoten,Laravel-AdminLTE,https://github.com/jeroennoten/Laravel-AdminLTE
2023-11-30,php,4061,3,The macOS & iOS file archiver,aonez,Keka,https://github.com/aonez/Keka
2023-11-30,php,3200,134,"Pandora Cloud + Pandora Server + Shared Chat + BackendAPI Proxy + Chat2API = PandoraNext. New GPTs(Gizmo) UI, All in one!",pandora-next,deploy,https://github.com/pandora-next/deploy
2023-11-30,php,479,0,Source code for the demo.filamentphp.com website.,filamentphp,demo,https://github.com/filamentphp/demo
2023-11-30,php,18445,9,Liberating Web Analytics. Star us on Github? +1. Matomo is the leading open alternative to Google Analytics that gives you full control over your data. Matomo lets you easily collect data from websites & apps and visualise this data and extract insights. Privacy is built-in. We love Pull Requests!,matomo-org,matomo,https://github.com/matomo-org/matomo
2023-11-30,php,2987,1,Xdebug — Step Debugger and Debugging Aid for PHP,xdebug,xdebug,https://github.com/xdebug/xdebug
2023-11-30,php,12359,0,"WordPress starter theme with Laravel Blade components and templates, Tailwind CSS, and a modern development workflow",roots,sage,https://github.com/roots/sage
2023-11-30,php,5099,4,Moodle - the world's open source learning platform,moodle,moodle,https://github.com/moodle/moodle
