date,language,stargazers,starsToday,description,owner,name,url
2024-05-23,svelte,23253,228,User-friendly WebUI for LLMs (Formerly Ollama WebUI),open-webui,open-webui,https://github.com/open-webui/open-webui
2024-05-23,svelte,4237,55,A based rollup. 🥁,taikoxyz,taiko-mono,https://github.com/taikoxyz/taiko-mono
2024-05-23,svelte,20875,8,"Low code platform for building business apps and workflows in minutes. Supports PostgreSQL, MySQL, MSSQL, MongoDB, Rest API, Docker, K8s, and more 🚀",Budibase,budibase,https://github.com/Budibase/budibase
2024-05-23,svelte,31250,23,"🌼 🌼 🌼 🌼 🌼  The most popular, free and open-source Tailwind CSS component library",saadeghi,daisyui,https://github.com/saadeghi/daisyui
2024-05-23,svelte,759,2,"A modern SaaS template/boilerplate built with SvelteKit, Tailwind, and Supabase. Includes marketing page, blog, subscriptions, auth, user dashboard, user settings, pricing page, and more.",CriticalMoments,CMSaasStarter,https://github.com/CriticalMoments/CMSaasStarter
2024-05-23,svelte,4625,19,"A complete design system and component solution, built on Tailwind.",skeletonlabs,skeleton,https://github.com/skeletonlabs/skeleton
2024-05-23,svelte,1723,5,"A modern, easy-to-use and performant custom Home Assistant dashboard",matt8707,ha-fusion,https://github.com/matt8707/ha-fusion
2024-05-23,svelte,2358,3,"Huly — All-in-One Project Management Platform (alternative to Linear, Jira, Slack, Notion, Motion)",hcengineering,platform,https://github.com/hcengineering/platform
2024-05-23,svelte,0,0,,bkuehnis,KI-Anwendungen-n-to-n-frontend,https://github.com/bkuehnis/KI-Anwendungen-n-to-n-frontend
2024-05-23,svelte,405,5,Composable Svelte chart components to build a wide range of visualizations,techniq,layerchart,https://github.com/techniq/layerchart
2024-05-23,svelte,46,0,Website of the JSCraftCamp in Munich,jscraftcamp,website,https://github.com/jscraftcamp/website
2024-05-23,svelte,926,6,"Transcribe any audio to text, translate and edit subtitles 100% locally with a web UI. Powered by whisper models!",pluja,whishper,https://github.com/pluja/whishper
2024-05-23,svelte,163,3,"GDPR compliant, self-hosted CAPTCHA alternative. Now with API and a Spam Filter!",altcha-org,altcha,https://github.com/altcha-org/altcha
2024-05-23,svelte,581,1,"Collection of Svelte components, actions, stores, and utilities to build highly interactive applications.",techniq,svelte-ux,https://github.com/techniq/svelte-ux
2024-05-23,svelte,2155,4,3D framework for Svelte,threlte,threlte,https://github.com/threlte/threlte
2024-05-23,svelte,454,1,"SlickGPT is a light-weight ""use-your-own-API-key"" web client for the OpenAI API written in Svelte. It offers GPT-4 integration, a userless share feature and other superpowers.",ShipBit,slickgpt,https://github.com/ShipBit/slickgpt
2024-05-23,svelte,156,3,🐉 WireGuard VPN Server with an web-based admin UI + TOR,wireadmin,wireadmin,https://github.com/wireadmin/wireadmin
2024-05-23,svelte,1885,0,"Primo is a visual CMS with a built-in code editor, Svelte blocks, and static site generator.",primocms,primo,https://github.com/primocms/primo
2024-05-23,svelte,5568,0,"A web interface for chatting with Alpaca through llama.cpp. Fully dockerized, with an easy to use API.",serge-chat,serge,https://github.com/serge-chat/serge
2024-05-23,svelte,1834,5,"Bittorrent streaming software for cats. Stream anime torrents, real-time with no waiting for downloads.",ThaUnknown,miru,https://github.com/ThaUnknown/miru
2024-05-23,svelte,143,2,Vercel-like style portfolio template for developers.,RiadhAdrani,slick-portfolio-svelte,https://github.com/RiadhAdrani/slick-portfolio-svelte
2024-05-23,svelte,180,0,Create a custom league page for your Sleeper fantasy football league!,nmelhado,league-page,https://github.com/nmelhado/league-page
2024-05-23,svelte,308,1,Modern material design for Invidious.,Materialious,Materialious,https://github.com/Materialious/Materialious
2024-05-23,svelte,8781,8,Open-source developer platform to turn scripts into workflows and UIs. Fastest workflow engine (5x vs Airflow). Open-source alternative to Airplane and Retool.,windmill-labs,windmill,https://github.com/windmill-labs/windmill
2024-05-23,svelte,291,1,An Obsidian plugin to interact with your privacy focused AI-Assistant making your second brain even smarter!,your-papa,obsidian-Smart2Brain,https://github.com/your-papa/obsidian-Smart2Brain
